exp,ranges
Original Model,
Early Features (Full),"('features.0.depthwise.0', 'features.4.pointwise.0')"
Middle Features (Full),"('features.5.depthwise.0', 'features.8.pointwise.0')"
Late Features (Full),"('features.9.depthwise.0', 'features.12.pointwise.0')"
Block 0 Only,"('features.0.depthwise.0', 'features.0.pointwise.0')"
Block 1 Only,"('features.1.depthwise.0', 'features.1.pointwise.0')"
Block 2 Only,"('features.2.depthwise.0', 'features.2.pointwise.0')"
Block 8 Only,"('features.8.depthwise.0', 'features.8.pointwise.0')"
Block 10 Only,"('features.10.depthwise.0', 'features.10.pointwise.0')"
Block 11 Only,"('features.11.depthwise.0', 'features.11.pointwise.0')"
Early and Middle,"('features.0.depthwise.0', 'features.8.pointwise.0')"
Middle and Late,"('features.5.depthwise.0', 'features.12.pointwise.0')"
Almost All (1-11),"('features.1.depthwise.0', 'features.11.pointwise.0')"
