exp,ranges
Original Model,
Stage 1 (Full),"('features.conv_1', 'features.conv_2')"
Stage 2 (Full),"('features.conv_3', 'features.conv_4')"
Stage 3 (Full),"('features.conv_5', 'features.conv_7')"
Stage 4 (Full),"('features.conv_8', 'features.conv_10')"
Stage 5 (Full),"('features.conv_11', 'features.conv_13')"
Conv 1 Only,"('features.conv_1', 'features.conv_1')"
Conv 2 Only,"('features.conv_2', 'features.conv_2')"
Conv 3 Only,"('features.conv_3', 'features.conv_3')"
Conv 9 Only,"('features.conv_9', 'features.conv_9')"
Conv 10 Only,"('features.conv_10', 'features.conv_10')"
Conv 13 Only,"('features.conv_13', 'features.conv_13')"
Stages 1 and 2,"('features.conv_1', 'features.conv_4')"
Stages 3 and 4,"('features.conv_5', 'features.conv_10')"
Stages 4 and 5,"('features.conv_8', 'features.conv_13')"
