exp,ranges
Original Model,
Entry Flow (Full),"('block1.rep.0.depthwise', 'block3.rep.4.pointwise')"
Middle Flow (Full),"('middle_flow.0.rep.1.depthwise', 'middle_flow.7.rep.7.pointwise')"
Exit Flow (Full),"('block4.rep.1.depthwise', 'conv4.pointwise')"
Block 1 Only,"('block1.rep.0.depthwise', 'block1.rep.3.pointwise')"
Block 2 Only,"('block2.rep.1.depthwise', 'block2.rep.4.pointwise')"
Block 3 Only,"('block3.rep.1.depthwise', 'block3.rep.4.pointwise')"
Conv 3 and 4 Only,"('conv3.depthwise', 'conv4.pointwise')"
Middle Flow Block 4 Only,"('middle_flow.4.rep.1.depthwise', 'middle_flow.4.rep.7.pointwise')"
Middle Flow Block 7 Only,"('middle_flow.7.rep.1.depthwise', 'middle_flow.7.rep.7.pointwise')"
Block 4 Only,"('block4.rep.1.depthwise', 'block4.rep.4.pointwise')"
Entry and Middle Flow,"('block1.rep.0.depthwise', 'middle_flow.7.rep.7.pointwise')"
Middle and Exit Flow,"('middle_flow.0.rep.1.depthwise', 'conv4.pointwise')"
