Layer,Mean Activation,Variance
features.conv_1,-0.0588541962206363,3.2565813064575195
features.conv_2,-10.192127227783203,148.2049102783203
features.conv_3,-5.775808811187744,87.21561431884766
features.conv_4,-2.82949447631836,207.44325256347656
features.conv_5,-13.728630065917969,253.2946014404297
features.conv_6,-4.824156761169434,430.9684753417969
features.conv_7,-12.954005241394045,1252.631591796875
features.conv_8,-24.019939422607425,899.5157470703125
features.conv_9,-20.056299209594727,1381.27392578125
features.conv_10,-24.35319328308105,1569.4598388671875
features.conv_11,-5.459659099578857,2140.696044921875
features.conv_12,1.3765676021575928,19060.17578125
features.conv_13,-94.84630584716795,356790.53125
classifier.fc_1,212.60073852539065,8652908.0
classifier.fc_2,-2761.36083984375,231498416.0
classifier.fc_3,-15.363207817077637,959.1728515625
