Architecture,Dataset,Experiment,Is_Quantized,Collapsed_Ranges,Delta_Acc,Params_Reduction_%,FLOPs_Reduction_%,Memory_Reduction_%
InceptionNet,TinyImageNet,Set_0,False,"['stage4.inception_4a.branch4.1.conv', 'stage4.inception_4b.branch2.0.conv']",,,,
InceptionNet,TinyImageNet,Set_1,False,"['stage4.inception_4b.branch4.1.conv', 'stage4.inception_4c.branch2.0.conv']",,,,
InceptionNet,TinyImageNet,Set_2,False,"['stage4.inception_4c.branch3.0.conv', 'stage4.inception_4d.branch2.0.conv']",,,,
InceptionNet,TinyImageNet,Set_3,False,"['stage4.inception_4d.branch3.0.conv', 'stage4.inception_4d.branch4.1.conv']",,,,
InceptionNet,TinyImageNet,Set_4,False,"['stage5.inception_5a.branch3.0.conv', 'stage5.inception_5a.branch4.1.conv']",,,,
InceptionNet,TinyImageNet,Set_5,False,"['stage4.inception_4a.branch1.conv', 'stage4.inception_4a.branch2.0.conv']",,,,
InceptionNet,TinyImageNet,Set_6,False,"['stage4.inception_4e.branch2.0.conv', 'stage4.inception_4e.branch4.1.conv']",,,,
InceptionNet,TinyImageNet,Set_7,False,"['stage4.inception_4e.branch2.1.conv', 'stage4.inception_4e.branch4.1.conv']",,,,
InceptionNet,TinyImageNet,Set_8,False,"['stage4.inception_4e.branch3.0.conv', 'stage4.inception_4e.branch4.1.conv']",,,,
InceptionNet,TinyImageNet,Set_9,False,"['stage5.inception_5a.branch1.conv', 'stage5.inception_5a.branch2.0.conv']",,,,
InceptionNet,TinyImageNet,Set_10,False,"['stage4.inception_4e.branch3.1.conv', 'stage4.inception_4e.branch4.1.conv']",,,,
InceptionNet,TinyImageNet,Dynamic_Region_All_Combined,False,"[['stage4.inception_4a.branch4.1.conv', 'stage4.inception_4b.branch2.0.conv'], ['stage4.inception_4b.branch4.1.conv', 'stage4.inception_4c.branch2.0.conv'], ['stage4.inception_4c.branch3.0.conv', 'stage4.inception_4d.branch2.0.conv'], ['stage4.inception_4d.branch3.0.conv', 'stage4.inception_4d.branch4.1.conv'], ['stage5.inception_5a.branch3.0.conv', 'stage5.inception_5a.branch4.1.conv'], ['stage4.inception_4a.branch1.conv', 'stage4.inception_4a.branch2.0.conv'], ['stage4.inception_4e.branch2.0.conv', 'stage4.inception_4e.branch4.1.conv'], ['stage4.inception_4e.branch2.1.conv', 'stage4.inception_4e.branch4.1.conv'], ['stage4.inception_4e.branch3.0.conv', 'stage4.inception_4e.branch4.1.conv'], ['stage5.inception_5a.branch1.conv', 'stage5.inception_5a.branch2.0.conv'], ['stage4.inception_4e.branch3.1.conv', 'stage4.inception_4e.branch4.1.conv']]",2.4110000000000014,31.380095676701213,20.647942884348293,6.994535519125689
InceptionNet,TinyImageNet,Control (Continued),False,None,,,,
InceptionNet,TinyImageNet,Set_0,True,"['stage4.inception_4a.branch4.1.conv', 'stage4.inception_4b.branch2.0.conv']",,,,
InceptionNet,TinyImageNet,Set_1,True,"['stage4.inception_4b.branch4.1.conv', 'stage4.inception_4c.branch2.0.conv']",,,,
InceptionNet,TinyImageNet,Set_2,True,"['stage4.inception_4c.branch3.0.conv', 'stage4.inception_4d.branch2.0.conv']",,,,
InceptionNet,TinyImageNet,Set_3,True,"['stage4.inception_4d.branch3.0.conv', 'stage4.inception_4d.branch4.1.conv']",,,,
InceptionNet,TinyImageNet,Set_4,True,"['stage5.inception_5a.branch3.0.conv', 'stage5.inception_5a.branch4.1.conv']",,,,
InceptionNet,TinyImageNet,Set_5,True,"['stage4.inception_4a.branch1.conv', 'stage4.inception_4a.branch2.0.conv']",,,,
InceptionNet,TinyImageNet,Set_6,True,"['stage4.inception_4e.branch2.0.conv', 'stage4.inception_4e.branch4.1.conv']",,,,
InceptionNet,TinyImageNet,Set_7,True,"['stage4.inception_4e.branch2.1.conv', 'stage4.inception_4e.branch4.1.conv']",,,,
InceptionNet,TinyImageNet,Set_8,True,"['stage4.inception_4e.branch3.0.conv', 'stage4.inception_4e.branch4.1.conv']",,,,
InceptionNet,TinyImageNet,Set_9,True,"['stage5.inception_5a.branch1.conv', 'stage5.inception_5a.branch2.0.conv']",,,,
InceptionNet,TinyImageNet,Set_10,True,"['stage4.inception_4e.branch3.1.conv', 'stage4.inception_4e.branch4.1.conv']",,,,
InceptionNet,TinyImageNet,Dynamic_Region_All_Combined,True,"[['stage4.inception_4a.branch4.1.conv', 'stage4.inception_4b.branch2.0.conv'], ['stage4.inception_4b.branch4.1.conv', 'stage4.inception_4c.branch2.0.conv'], ['stage4.inception_4c.branch3.0.conv', 'stage4.inception_4d.branch2.0.conv'], ['stage4.inception_4d.branch3.0.conv', 'stage4.inception_4d.branch4.1.conv'], ['stage5.inception_5a.branch3.0.conv', 'stage5.inception_5a.branch4.1.conv'], ['stage4.inception_4a.branch1.conv', 'stage4.inception_4a.branch2.0.conv'], ['stage4.inception_4e.branch2.0.conv', 'stage4.inception_4e.branch4.1.conv'], ['stage4.inception_4e.branch2.1.conv', 'stage4.inception_4e.branch4.1.conv'], ['stage4.inception_4e.branch3.0.conv', 'stage4.inception_4e.branch4.1.conv'], ['stage5.inception_5a.branch1.conv', 'stage5.inception_5a.branch2.0.conv'], ['stage4.inception_4e.branch3.1.conv', 'stage4.inception_4e.branch4.1.conv']]",2.294000000000004,31.380095676701213,20.647942884348293,53.49726775956285
InceptionNet,TinyImageNet,Control (Continued),True,None,,,,
