Candidate Block,Delta Acc (%),Params Red. (%),FLOPs Red. (%),Memory Red. (%)
Dynamic_Region_All_Combined,5.2379999999999995,96.08593431529695,73.39519062373702,40.76729541455185
Set_0,4.861999999999998,1.0619625861220783,5.186582244375593,4.467648812553627
Set_7,3.5060000000000002,4.238214909487848,5.179846423279,2.2338244062768187
Set_8,3.451999999999998,4.238214909487848,5.179846423279,2.2338244062768187
Set_5,3.442,4.238214909487848,5.179846423279,2.2338244062768187
Set_6,3.4239999999999995,4.238214909487848,5.179846423279,2.2338244062768187
Set_9,3.3580000000000005,4.238214909487848,5.179846423279,2.2338244062768187
Set_4,3.338000000000001,4.238214909487848,5.179846423279,2.2338244062768187
Set_3,3.3200000000000003,4.238214909487848,5.179846423279,2.2338244062768187
Set_10,-2.7540000000000013,93.16915049158642,63.02876195608245,34.06582219572141
