Candidate Block,Delta Acc (%),Params Red. (%),FLOPs Red. (%),Memory Red. (%)
Set_7,5.241,11.784951815433386,3.187561872748579,1.3370315727353255
Dynamic_Region_All_Combined,4.856999999999999,24.583517778781594,14.68766602591548,4.77403363824137
Dynamic_Region_All_Combined,4.763999999999999,29.702944164120883,19.28770768718224,6.1488344644437865
Set_5,4.582999999999998,11.784951815433386,3.187561872748579,1.3370315727353255
Set_1,1.282,2.5597131926696437,2.300020830633376,0.6874004131012135
Set_3,0.9920000000000009,2.5597131926696437,2.300020830633376,0.6874004131012135
Set_1,0.9920000000000009,2.5597131926696437,2.300020830633376,0.6874004131012135
Set_6,0.9879999999999995,2.5597131926696437,2.300020830633376,0.6874004131012135
Set_4,0.9879999999999995,2.5597131926696437,2.300020830633376,0.6874004131012135
Set_0,0.5030000000000001,2.5597131926696437,2.300020830633376,0.6874004131012135
Set_2,0.375,2.5597131926696437,2.300020830633376,0.6874004131012135
Set_0,0.30400000000000027,2.5597131926696437,2.300020830633376,0.6874004131012135
Set_5,-0.06199999999999939,2.5597131926696437,2.300020830633376,0.6874004131012135
Set_2,-0.3420000000000005,2.5597131926696437,2.300020830633376,0.6874004131012135
Set_4,-0.3849999999999998,2.5597131926696437,2.300020830633376,0.6874004131012135
