Architecture,Dataset,Experiment,Is_Quantized,Collapsed_Ranges,Delta_Acc,Params_Reduction_%,FLOPs_Reduction_%,Memory_Reduction_%
XceptionNet,CIFAR-10,Set_0,False,"['middle_flow.0.rep.4.depthwise', 'middle_flow.0.rep.7.pointwise']",,,,
XceptionNet,CIFAR-10,Set_1,False,"['middle_flow.1.rep.4.depthwise', 'middle_flow.1.rep.7.pointwise']",,,,
XceptionNet,CIFAR-10,Set_2,False,"['middle_flow.2.rep.4.depthwise', 'middle_flow.2.rep.7.pointwise']",,,,
XceptionNet,CIFAR-10,Set_3,False,"['middle_flow.3.rep.4.depthwise', 'middle_flow.3.rep.7.pointwise']",,,,
XceptionNet,CIFAR-10,Set_4,False,"['middle_flow.4.rep.4.depthwise', 'middle_flow.4.rep.7.pointwise']",,,,
XceptionNet,CIFAR-10,Set_5,False,"['middle_flow.5.rep.4.depthwise', 'middle_flow.5.rep.7.pointwise']",,,,
XceptionNet,CIFAR-10,Set_6,False,"['middle_flow.6.rep.4.depthwise', 'middle_flow.6.rep.7.pointwise']",,,,
XceptionNet,CIFAR-10,Set_7,False,"['middle_flow.7.rep.4.depthwise', 'middle_flow.7.rep.7.pointwise']",,,,
XceptionNet,CIFAR-10,Set_8,False,"['block4.rep.1.depthwise', 'conv4.pointwise']",,,,
XceptionNet,CIFAR-10,Set_0,True,"['middle_flow.0.rep.4.depthwise', 'middle_flow.0.rep.7.pointwise']",,,,
XceptionNet,CIFAR-10,Set_1,True,"['middle_flow.1.rep.4.depthwise', 'middle_flow.1.rep.7.pointwise']",,,,
XceptionNet,CIFAR-10,Set_2,True,"['middle_flow.2.rep.4.depthwise', 'middle_flow.2.rep.7.pointwise']",,,,
XceptionNet,CIFAR-10,Set_3,True,"['middle_flow.3.rep.4.depthwise', 'middle_flow.3.rep.7.pointwise']",,,,
XceptionNet,CIFAR-10,Set_4,True,"['middle_flow.4.rep.4.depthwise', 'middle_flow.4.rep.7.pointwise']",,,,
XceptionNet,CIFAR-10,Set_5,True,"['middle_flow.5.rep.4.depthwise', 'middle_flow.5.rep.7.pointwise']",,,,
XceptionNet,CIFAR-10,Set_6,True,"['middle_flow.6.rep.4.depthwise', 'middle_flow.6.rep.7.pointwise']",,,,
XceptionNet,CIFAR-10,Set_7,True,"['middle_flow.7.rep.4.depthwise', 'middle_flow.7.rep.7.pointwise']",,,,
XceptionNet,CIFAR-10,Set_8,True,"['block4.rep.1.depthwise', 'conv4.pointwise']",,,,
XceptionNet,CIFAR-10,Dynamic_Region_All_Combined,True,"[['middle_flow.0.rep.4.depthwise', 'middle_flow.0.rep.7.pointwise'], ['middle_flow.1.rep.4.depthwise', 'middle_flow.1.rep.7.pointwise'], ['middle_flow.2.rep.4.depthwise', 'middle_flow.2.rep.7.pointwise'], ['middle_flow.3.rep.4.depthwise', 'middle_flow.3.rep.7.pointwise'], ['middle_flow.4.rep.4.depthwise', 'middle_flow.4.rep.7.pointwise'], ['middle_flow.5.rep.4.depthwise', 'middle_flow.5.rep.7.pointwise'], ['middle_flow.6.rep.4.depthwise', 'middle_flow.6.rep.7.pointwise'], ['middle_flow.7.rep.4.depthwise', 'middle_flow.7.rep.7.pointwise'], ['block4.rep.1.depthwise', 'conv4.pointwise']]",1.0900000000000034,46.25605007086324,33.42557030704826,8.83223043108945
XceptionNet,CIFAR-10,Control (Continued),True,None,-0.4059999999999988,0.0,0.0,0.0
