layer,layer_type,identity_score,arithmetic_intensity,weight_l1,act_var,flops
features.stem_conv,Conv2d,0.0,6.851288484658408,0.07245483994483948,0.6041777729988098,100663296
stage1.block1_1.dwconv,Conv2d,0.045840539038181305,6.120330558350868,0.07188968269192443,0.11462664604187012,102760448
stage1.block1_1.pwconv1,Linear,0.0,12.77971968312005,0.062422219663858414,0.3305164575576782,536870912
stage1.block1_1.pwconv2,Linear,0.0,12.779953320292266,0.03111383318901062,0.0450018048286438,536870912
stage1.block1_2.dwconv,Conv2d,0.04532399773597717,6.120330558350868,0.07080329680929379,0.12401817739009857,102760448
stage1.block1_2.pwconv1,Linear,0.0,12.77971968312005,0.06231636181473732,0.34378400444984436,536870912
stage1.block1_2.pwconv2,Linear,0.0,12.779953320292266,0.031092409044504166,0.04010533168911934,536870912
down1,Conv2d,0.0,21.112551846333506,0.03146453946828842,0.4946345388889313,268435456
stage2.block2_1.dwconv,Conv2d,-0.04359063506126404,6.106364853352805,0.07100824433930066,0.059930603951215744,51380224
stage2.block2_1.pwconv1,Linear,0.0,25.281512199826405,0.044149067252874374,0.3435617983341217,536870912
stage2.block2_1.pwconv2,Linear,0.0,25.28334096882309,0.022033147513866425,0.041979990899562836,536870912
stage2.block2_2.dwconv,Conv2d,-0.0780562162399292,6.106364853352805,0.07192735282742248,0.0643535703420639,51380224
stage2.block2_2.pwconv1,Linear,0.0,25.281512199826405,0.043889716267585754,0.3323277533054352,536870912
stage2.block2_2.pwconv2,Linear,0.0,25.28334096882309,0.02203194983303547,0.044402990490198135,536870912
down2,Conv2d,0.0,39.37869911371489,0.02214251272380352,0.3881057798862457,268435456
stage3.block3_1.dwconv,Conv2d,0.021571816876530647,6.051133622768934,0.07100250283066108,0.01651787757873535,25690112
stage3.block3_1.pwconv1,Linear,0.0,46.52893148739794,0.031092019751667976,0.33341363072395325,536870912
stage3.block3_1.pwconv2,Linear,0.0,46.54132268086995,0.015549402683973312,0.044845227152109146,536870912
stage3.block3_2.dwconv,Conv2d,-0.046153366565704346,6.051133622768934,0.07114132083192164,0.017748933285474777,25690112
stage3.block3_2.pwconv1,Linear,0.0,46.52893148739794,0.031110800802707672,0.33369824290275574,536870912
stage3.block3_2.pwconv2,Linear,0.0,46.54132268086995,0.015555077232420444,0.0504445880651474,536870912
stage3.block3_3.dwconv,Conv2d,-0.031343188136816025,6.051133622768934,0.07075544279448841,0.020263440907001495,25690112
stage3.block3_3.pwconv1,Linear,0.0,46.52893148739794,0.031058620661497116,0.3454885482788086,536870912
stage3.block3_3.pwconv2,Linear,0.0,46.54132268086995,0.015597369521856308,0.049504466354846954,536870912
down3,Conv2d,0.0,51.180007809449435,0.015618566423654556,0.4833260178565979,268435456
stage4.block4_1.dwconv,Conv2d,0.0418681800365448,5.839851024208566,0.07114698448959662,0.009105807170271873,12845056
stage4.block4_1.pwconv1,Linear,0.0,56.839549002601906,0.02196275070309639,0.3444303870201111,536870912
stage4.block4_1.pwconv2,Linear,0.0,56.876545888479065,0.010993653908371925,0.06761514395475388,536870912
stage4.block4_2.dwconv,Conv2d,-0.00786586944013834,5.839851024208566,0.07115791281875299,0.010178754106163979,12845056
stage4.block4_2.pwconv1,Linear,0.0,56.839549002601906,0.022002633661031723,0.3512393832206726,536870912
stage4.block4_2.pwconv2,Linear,0.0,56.876545888479065,0.010998755693435669,0.06683956831693649,536870912
classifier.fc,Linear,0.0,17.97259793113283,0.022481949329376222,2.1599605083465576,26214400
