layer,layer_type,identity_score,arithmetic_intensity,weight_l1,act_var,flops
features.stem_conv,Conv2d,0.0,6.851288484658408,0.07185981671015422,0.4836896061897278,100663296
stage1.block1_1.dwconv,Conv2d,0.04357052594423294,6.120330558350868,0.07187126120742486,0.08875821530818939,102760448
stage1.block1_1.pwconv1,Linear,0.0,12.77971968312005,0.06244755536317825,0.33673524856567383,536870912
stage1.block1_1.pwconv2,Linear,0.0,12.779953320292266,0.031143680214881897,0.0446697473526001,536870912
stage1.block1_2.dwconv,Conv2d,0.07995018362998962,6.120330558350868,0.07079666488024654,0.09642311930656433,102760448
stage1.block1_2.pwconv1,Linear,0.0,12.77971968312005,0.06233547627925873,0.3476966917514801,536870912
stage1.block1_2.pwconv2,Linear,0.0,12.779953320292266,0.031105443835258484,0.041966963559389114,536870912
down1,Conv2d,0.0,21.112551846333506,0.03133232519030571,0.22487905621528625,268435456
stage2.block2_1.dwconv,Conv2d,-0.012140760198235512,6.106364853352805,0.07106947898864746,0.029732994735240936,51380224
stage2.block2_1.pwconv1,Linear,0.0,25.281512199826405,0.04415826499462128,0.34263062477111816,536870912
stage2.block2_1.pwconv2,Linear,0.0,25.28334096882309,0.022043641656637192,0.04304133728146553,536870912
stage2.block2_2.dwconv,Conv2d,-0.054829344153404236,6.106364853352805,0.07194484496603207,0.03414645045995712,51380224
stage2.block2_2.pwconv1,Linear,0.0,25.281512199826405,0.04390115663409233,0.3298383057117462,536870912
stage2.block2_2.pwconv2,Linear,0.0,25.28334096882309,0.02204790711402893,0.040843795984983444,536870912
down2,Conv2d,0.0,39.37869911371489,0.02209683135151863,0.14772936701774597,268435456
stage3.block3_1.dwconv,Conv2d,-0.01323515921831131,6.051133622768934,0.07104516515926439,0.009896439500153065,25690112
stage3.block3_1.pwconv1,Linear,0.0,46.52893148739794,0.03109235316514969,0.3302660882472992,536870912
stage3.block3_1.pwconv2,Linear,0.0,46.54132268086995,0.015548033639788628,0.03654973581433296,536870912
stage3.block3_2.dwconv,Conv2d,-0.03897824138402939,6.051133622768934,0.07117028139075454,0.010067095048725605,25690112
stage3.block3_2.pwconv1,Linear,0.0,46.52893148739794,0.031107770279049873,0.32620689272880554,536870912
stage3.block3_2.pwconv2,Linear,0.0,46.54132268086995,0.015549080446362495,0.041596394032239914,536870912
stage3.block3_3.dwconv,Conv2d,-0.011412179097533226,6.051133622768934,0.07079097202845983,0.0100637786090374,25690112
stage3.block3_3.pwconv1,Linear,0.0,46.52893148739794,0.031057696789503098,0.34044745564460754,536870912
stage3.block3_3.pwconv2,Linear,0.0,46.54132268086995,0.015593581832945347,0.044743042439222336,536870912
down3,Conv2d,0.0,51.180007809449435,0.015588519163429737,0.13537806272506714,268435456
stage4.block4_1.dwconv,Conv2d,0.03669484704732895,5.839851024208566,0.07113935022938009,0.006691843271255493,12845056
stage4.block4_1.pwconv1,Linear,0.0,56.839549002601906,0.021959934383630753,0.3299354016780853,536870912
stage4.block4_1.pwconv2,Linear,0.0,56.876545888479065,0.010989505797624588,0.039804957807064056,536870912
stage4.block4_2.dwconv,Conv2d,0.02099296823143959,5.839851024208566,0.07115548970747967,0.006879403255879879,12845056
stage4.block4_2.pwconv1,Linear,0.0,56.839549002601906,0.022000504657626152,0.337240606546402,536870912
stage4.block4_2.pwconv2,Linear,0.0,56.876545888479065,0.010995849967002869,0.04018474370241165,536870912
classifier.fc,Linear,0.0,2.4059267091051932,0.025315308570861818,1.7208242416381836,2621440
