layer,layer_type,identity_score,arithmetic_intensity,weight_l1,act_var,flops,collapse_score
features.stem_conv,Conv2d,0.0,6.851288484658408,0.07164896527926128,0.239780992269516,100663296,0.7868001461029053
stage1.block1_1.dwconv,Conv2d,0.003810713067650795,6.120330558350868,0.0646798562030403,0.06370551884174347,102760448,0.938281238079071
stage1.block1_1.pwconv1,Linear,0.0,12.77971968312005,0.07235994935035706,0.46586674451828003,536870912,0.6275908946990967
stage1.block1_1.pwconv2,Linear,0.0,12.779953320292266,0.04550691694021225,0.12584775686264038,536870912,0.8817490935325623
stage1.block1_2.dwconv,Conv2d,0.11347084492444992,6.120330558350868,0.06767404322721521,0.10828456282615662,102760448,0.8973721861839294
stage1.block1_2.pwconv1,Linear,0.0,12.77971968312005,0.07433468103408813,0.5274120569229126,536870912,0.5901302099227905
stage1.block1_2.pwconv2,Linear,0.0,12.779953320292266,0.04477658495306969,0.10014453530311584,536870912,0.9047066569328308
down1,Conv2d,0.0,21.112551846333506,0.03653702884912491,0.5896552205085754,268435456,0.554518461227417
stage2.block2_1.dwconv,Conv2d,-0.0643296092748642,6.106364853352805,0.07840701025359485,0.1530872881412506,51380224,0.8580548167228699
stage2.block2_1.pwconv1,Linear,0.0,25.281512199826405,0.06818235665559769,0.9035969376564026,536870912,0.40510988235473633
stage2.block2_1.pwconv2,Linear,0.0,25.28334096882309,0.04937450960278511,0.1748729646205902,536870912,0.8395636677742004
stage2.block2_2.dwconv,Conv2d,-0.1344875544309616,6.106364853352805,0.0797487278373874,0.16314028203487396,51380224,0.8494719862937927
stage2.block2_2.pwconv1,Linear,0.0,25.281512199826405,0.06888692080974579,0.9543614387512207,536870912,0.3850579559803009
stage2.block2_2.pwconv2,Linear,0.0,25.28334096882309,0.049078360199928284,0.19136658310890198,536870912,0.825829803943634
down2,Conv2d,0.0,39.37869911371489,0.03968433290719986,3.59139347076416,268435456,0.027559900656342506
stage3.block3_1.dwconv,Conv2d,0.0288406852632761,6.051133622768934,0.07614499695447026,0.23464150726795197,25690112,0.7908543348312378
stage3.block3_1.pwconv1,Linear,0.0,46.52893148739794,0.06799960881471634,3.859950304031372,536870912,0.02106904610991478
stage3.block3_1.pwconv2,Linear,0.0,46.54132268086995,0.05868159234523773,1.121003270149231,536870912,0.3259526193141937
stage3.block3_2.dwconv,Conv2d,-0.04865935444831848,6.051133622768934,0.07635083003919951,0.2656891345977783,25690112,0.7666774392127991
stage3.block3_2.pwconv1,Linear,0.0,46.52893148739794,0.06842342019081116,3.472782850265503,536870912,0.031030556187033653
stage3.block3_2.pwconv2,Linear,0.0,46.54132268086995,0.057609327137470245,1.0240529775619507,536870912,0.3591364026069641
stage3.block3_3.dwconv,Conv2d,0.027355536818504333,6.051133622768934,0.07584009365159639,0.2931166887283325,25690112,0.7459350824356079
stage3.block3_3.pwconv1,Linear,0.0,46.52893148739794,0.06857958436012268,3.235414981842041,536870912,0.03934387490153313
stage3.block3_3.pwconv2,Linear,0.0,46.54132268086995,0.054035820066928864,1.0125735998153687,536870912,0.36328282952308655
down3,Conv2d,0.0,51.180007809449435,0.025268588215112686,,268435456,
stage4.block4_1.dwconv,Conv2d,-0.017950255423784256,5.839851024208566,0.07115892974697814,,12845056,
stage4.block4_1.pwconv1,Linear,0.0,56.839549002601906,0.03525948151946068,5.051724433898926,536870912,0.006398290395736694
stage4.block4_1.pwconv2,Linear,0.0,56.876545888479065,0.01922272890806198,0.9881662726402283,536870912,0.3722586929798126
stage4.block4_2.dwconv,Conv2d,-0.10436910390853882,5.839851024208566,0.07136927818765446,,12845056,
stage4.block4_2.pwconv1,Linear,0.0,56.839549002601906,0.035046327859163284,4.130529403686523,536870912,0.016074366867542267
stage4.block4_2.pwconv2,Linear,0.0,56.876545888479065,0.018443243578076363,0.8968957662582397,536870912,0.40783369541168213
classifier.fc,Linear,0.0,2.4059267091051932,0.009635643661022186,48.404022216796875,2621440,9.514812613056342e-22
