layer,layer_type,arithmetic_intensity,sensitivity,flops
features.stem_conv,Conv2d,6.845444100135789,9.89260934147751e-06,50331648
stage1.block1_1.dwconv,Conv2d,6.115668230848924,5.262490049062762e-06,51380224
stage1.block1_1.pwconv1,Linear,12.759503528839133,1.8242304804516607e-06,268435456
stage1.block1_1.pwconv2,Linear,12.759969334485318,6.8641156758531e-06,268435456
stage1.block1_2.dwconv,Conv2d,6.115668230848924,5.563535978581058e-06,51380224
stage1.block1_2.pwconv1,Linear,12.759503528839133,1.7040667898982065e-06,268435456
stage1.block1_2.pwconv2,Linear,12.759969334485318,4.79277969134273e-06,268435456
down1,Conv2d,20.896293343961737,9.355789188703056e-06,134217728
stage2.block2_1.dwconv,Conv2d,6.087842756612472,4.55881490779575e-06,25690112
stage2.block2_1.pwconv1,Linear,24.970851590779198,1.6399390005972236e-06,268435456
stage2.block2_1.pwconv2,Linear,24.97442004477683,3.832778929790948e-06,268435456
stage2.block2_2.dwconv,Conv2d,6.087842756612472,6.825443506386364e-06,25690112
stage2.block2_2.pwconv1,Linear,24.970851590779198,2.467138301653904e-06,268435456
stage2.block2_2.pwconv2,Linear,24.97442004477683,5.640577001031488e-06,268435456
down2,Conv2d,36.561227336122734,1.535958654130809e-05,134217728
stage3.block3_1.dwconv,Conv2d,5.979027645376549,5.254044481262099e-06,12845056
stage3.block3_1.pwconv1,Linear,42.638906961613536,1.9175918168912176e-06,268435456
stage3.block3_1.pwconv2,Linear,42.659723352318956,4.64387903775787e-06,268435456
stage3.block3_2.dwconv,Conv2d,5.979027645376549,3.1697657050244743e-06,12845056
stage3.block3_2.pwconv1,Linear,42.638906961613536,7.369038712567999e-07,268435456
stage3.block3_2.pwconv2,Linear,42.659723352318956,2.6864213396038394e-06,268435456
stage3.block3_3.dwconv,Conv2d,5.979027645376549,1.1983900549239479e-05,12845056
stage3.block3_3.pwconv1,Linear,42.638906961613536,5.1884471758967265e-06,268435456
stage3.block3_3.pwconv2,Linear,42.659723352318956,9.949375453288667e-06,268435456
down3,Conv2d,36.551031790295596,2.0394141756696627e-05,134217728
stage4.block4_1.dwconv,Conv2d,5.580071174377224,4.656738838093588e-06,6422528
stage4.block4_1.pwconv1,Linear,39.33733493397359,8.679065786054707e-07,268435456
stage4.block4_1.pwconv2,Linear,39.37278462000601,2.687812866497552e-06,268435456
stage4.block4_2.dwconv,Conv2d,5.580071174377224,8.217499271268025e-06,6422528
stage4.block4_2.pwconv1,Linear,39.33733493397359,3.866500719595933e-06,268435456
stage4.block4_2.pwconv2,Linear,39.37278462000601,5.675254215020686e-06,268435456
classifier.fc,Linear,11.057718265752388,0.00017731670232024044,6553600
