Experiment,Collapse Score
Original Model,-0.0047723776660859585
Last 2,0.1394963200418366
Stage 4 (Full),0.0
Stage 3 (Full),0.0
Stage 2 (Full),0.0
Stage 1 (Full),0.0
Stage 3 Block 0 Only,0.0
Stage 3 Block 1 Only,0.03898443527860733
Stage 3 Block 2 Only,-0.015600002913662458
Stage 3 Block 3 Only,-0.008115404112460263
Stage 4 Block 0 Only,0.0
Stage 4 Block 1 Only,0.06183484389265416
Stage 4 Block 2 Only,0.22525166030663615
Stage 4 Block 3 Only,0.21328618877043493
Stage 4 Block 4 Only,0.20160548799021893
Stage 4 Block 5 Only,0.21169162272962233
Stage 4 Block 6 Only,0.14374717668499984
Stage 1 Block 0 Only,0.0
Stage 3-4,0.0
Stage 2-4,0.0
Stage 1-4,0.0
Stage 1 first 2 conv,0.0
Stage 2 first 2 conv,0.0
Stage 3 first 2 conv,0.0
Stage 4 first 2 conv,0.0
Stage 1 last 2 conv,0.0
Stage 2 last 2 conv,0.0
Stage 3 last 2 conv,-0.014602752327224635
Stage 4 last 2 conv,0.05231670437528668
