Experiment,Block Redundancy
Original Model,-0.0047723776660859585
Last 2,0.0748344361782074
Stage 4 (Full),0.0
Stage 3 (Full),0.0
Stage 2 (Full),0.0
Stage 1 (Full),0.0
Stage 3 Block 0 Only,0.0
Stage 3 Block 1 Only,0.06565440446138382
Stage 3 Block 2 Only,-0.020488210022449493
Stage 3 Block 3 Only,-0.0158380176872015
Stage 4 Block 0 Only,0.0
Stage 4 Block 1 Only,0.08620363473892212
Stage 4 Block 2 Only,0.1396535336971283
Stage 4 Block 3 Only,0.125155508518219
Stage 4 Block 4 Only,0.11009201407432556
Stage 4 Block 5 Only,0.11411226540803909
Stage 4 Block 6 Only,0.07844705134630203
Stage 1 Block 0 Only,0.0
Stage 3-4,0.0
Stage 2-4,0.0
Stage 1-4,0.0
Stage 1 first 2 conv,0.0
Stage 2 first 2 conv,0.0
Stage 3 first 2 conv,0.0
Stage 4 first 2 conv,0.0
Stage 1 last 2 conv,0.0
Stage 2 last 2 conv,0.0
Stage 3 last 2 conv,-0.023657556623220444
Stage 4 last 2 conv,0.027399394661188126
