Experiment,Relative Variance
Original Model,1.0
Stage 7,1.6943024387010557
Stage 6,0.8841058776819752
Stage 5,0.8841058776819752
Stage 4,0.826076087553278
Stage 3,0.826076087553278
Stage 2,0.6997422136849534
Stage 1,0.6480257695928312
Block 7 Only,1.6943024387010557
Block 6 Only,1.7313919239117772
Block 5 Only,1.6135210311519554
Block 4 Only,1.543103634417126
Block 3 Only,1.1901208805408743
Block 2 Only,0.9078181680014891
Block 1 Only,0.35853842578613027
Stage 5-7,0.8841058776819752
Stage 4-7,0.8841058776819752
Stage 6-7,0.8841058776819752
Stage 3-7,0.8841058776819752
Stage 2-7,0.8841058776819752
Stage 1-7,0.826076087553278
Last 2,0.8841058776819752
