Experiment,Relative Variance
Original Model,1.0
Last 2,0.49887846998021257
Stage 4 (Full),0.5576378131238381
Stage 3 (Full),1.3309509747065003
Stage 2 (Full),0.6811813260019873
Stage 1 (Full),0.5451129109753586
Stage 3 Block 0 Only,1.3309509747065003
Stage 3 Block 1 Only,1.312062812394293
Stage 3 Block 2 Only,1.126313095546843
Stage 3 Block 3 Only,1.548473373796028
Stage 4 Block 0 Only,2.120649633535455
Stage 4 Block 1 Only,1.0773019819376963
Stage 4 Block 2 Only,0.5252875058449236
Stage 4 Block 3 Only,0.5180501444773299
Stage 4 Block 4 Only,0.4925775807846179
Stage 4 Block 5 Only,0.48881792321733086
Stage 4 Block 6 Only,0.5089390167430943
Stage 1 Block 0 Only,0.5451129109753586
Stage 3-4,1.2202934374233207
Stage 2-4,1.1733032664850818
Stage 1-4,1.126313095546843
Stage 1 first 2 conv,0.905147063961171
Stage 2 first 2 conv,1.0352217180026657
Stage 3 first 2 conv,2.436254267496307
Stage 4 first 2 conv,11.601031309609485
Stage 1 last 2 conv,0.7031643136610984
Stage 2 last 2 conv,0.9215249574980042
Stage 3 last 2 conv,1.3373932346714354
Stage 4 last 2 conv,0.4906977520009744
