Experiment,Relative Variance
Original Model,1.0
Stage 1 (Full),0.06847869938932404
Stage 2 (Full),0.13322103035238722
Stage 3 (Full),0.38969853472870786
Stage 4 (Full),1.2490018545069177
Stage 5 (Full),17.234955683786094
Conv 1 Only,0.8133772854747437
Conv 2 Only,0.1340126707162419
Conv 3 Only,0.07886376626170546
Conv 9 Only,1.2490018545069177
Conv 10 Only,1.419166910148196
Conv 13 Only,322.62393931001657
Stages 1 and 2,0.10643821848897368
Stages 3 and 4,0.9730278575615944
Stages 4 and 5,1.6774339589235714
