layer,layer_type,identity_score,arithmetic_intensity,weight_l1,act_var,flops,collapse_score
stem.conv1,Conv2d,0.0,30.918168105523282,0.041395446881145034,0.4724309742450714,1233125376,0.003130646099868376
stem.conv2,Conv2d,-0.1564117670059204,7.9921951219512195,0.062155626714229584,0.4361286759376526,134217728,-0.011001571124917538
stem.conv3,Conv2d,0.0,106.59469879518072,0.02084969811969333,0.2118118554353714,3623878656,0.038992268625407736
stage3.inception_3a.branch1.conv1,Conv2d,0.0,11.930097087378641,0.0359993502497673,0.5480925440788269,100663296,0.0035962363500870696
stage3.inception_3a.branch2.conv1,Conv2d,0.0,15.875968992248062,0.03637710544798109,0.6461777091026306,150994944,0.002031765435961043
stage3.inception_3a.branch2.conv2,Conv2d,0.0,116.41263157894737,0.01701375400578534,0.18777744472026825,905969664,0.08226194411205229
stage3.inception_3a.branch3.conv1,Conv2d,0.0,3.685662867426515,0.03548389176527659,0.5568038821220398,25165824,0.0053993087226055485
stage3.inception_3a.branch3.conv2,Conv2d,0.0,64.56494325346785,0.024652047157287596,0.10230269283056259,104857600,0.2007454737641443
stage3.inception_3a.branch4.conv,Conv2d,0.0,6.834260289210234,0.03589238474766413,1.0938321352005005,50331648,0.00010199741129378826
stage3.inception_3b.branch1.conv1,Conv2d,0.0,21.11340206185567,0.03109634853899479,0.17486456036567688,268435456,0.13178237111808055
stage3.inception_3b.branch2.conv1,Conv2d,0.0,21.11340206185567,0.03117303177714348,0.19162200391292572,268435456,0.12111756920446749
stage3.inception_3b.branch2.conv2,Conv2d,0.0,159.35446685878964,0.014671054151323106,0.1571030169725418,1811939328,0.16350535092506885
stage3.inception_3b.branch3.conv1,Conv2d,0.0,7.086505190311419,0.031109539791941643,0.2311209887266159,67108864,0.09453215211693888
stage3.inception_3b.branch3.conv2,Conv2d,0.0,139.7634212920837,0.017626744906107585,0.10022453218698502,629145600,0.26461879723156384
stage3.inception_3b.branch4.conv,Conv2d,0.0,12.720496894409937,0.031216954812407494,0.43412667512893677,134217728,0.020284893905539086
stage4.inception_4a.branch1.conv1,Conv2d,0.0,32.13389121338912,0.022694434059990776,0.5541479587554932,188743680,0.00809426462120014
stage4.inception_4a.branch2.conv1,Conv2d,0.0,19.24812030075188,0.022768783569335937,0.6601995229721069,94371840,0.003588862966385256
stage4.inception_4a.branch2.conv2,Conv2d,0.0,114.68538608806637,0.016908792349008415,0.08841615170240402,368050176,0.29953894551282806
stage4.inception_4a.branch3.conv1,Conv2d,0.0,3.8419209604802402,0.022663597265879312,0.7510282397270203,15728640,0.0017924727702639074
stage4.inception_4a.branch3.conv2,Conv2d,0.0,65.41737649063032,0.024789037704467772,0.028951946645975113,39321600,0.47698244214653246
stage4.inception_4a.branch4.conv,Conv2d,0.0,13.738819320214668,0.022761088609695435,0.8947579264640808,62914560,0.0005924716084792674
stage4.inception_4b.branch1.conv1,Conv2d,0.0,28.764044943820224,0.021969082951545715,0.19734932482242584,167772160,0.13013877333283494
stage4.inception_4b.branch2.conv1,Conv2d,0.0,21.987730061349694,0.022028814469064985,0.21421290934085846,117440512,0.11432847984437274
stage4.inception_4b.branch2.conv2,Conv2d,0.0,126.49411764705883,0.01567783485464498,0.08798565715551376,462422016,0.3035008106255251
stage4.inception_4b.branch3.conv1,Conv2d,0.0,5.667896678966789,0.02190682291984558,0.2461891770362854,25165824,0.08938077664519661
stage4.inception_4b.branch3.conv2,Conv2d,0.0,89.92974238875878,0.02037274678548177,0.030383480712771416,78643200,0.47406899518671924
stage4.inception_4b.branch4.conv,Conv2d,0.0,13.837837837837839,0.021987566724419594,0.47373268008232117,67108864,0.015402421019823092
stage4.inception_4c.branch1.conv1,Conv2d,0.0,24.38095238095238,0.02194240130484104,0.19019611179828644,134217728,0.13787904574594892
stage4.inception_4c.branch2.conv1,Conv2d,0.0,24.38095238095238,0.021917589008808136,0.21622337400913239,134217728,0.11276364049234566
stage4.inception_4c.branch2.conv2,Conv2d,0.0,139.63636363636363,0.01464692751566569,0.09155357629060745,603979776,0.2956129514214113
stage4.inception_4c.branch3.conv1,Conv2d,0.0,5.667896678966789,0.022154373427232105,0.20441798865795135,25165824,0.12355359264295243
stage4.inception_4c.branch3.conv2,Conv2d,0.0,89.92974238875878,0.020286930402119954,0.029589707031846046,78643200,0.4772852090555535
stage4.inception_4c.branch4.conv,Conv2d,0.0,13.837837837837839,0.022069934755563736,0.477601021528244,67108864,0.01495530469172963
stage4.inception_4d.branch1.conv1,Conv2d,0.0,21.987730061349694,0.022087935890470232,0.18764330446720123,117440512,0.14067097753466998
stage4.inception_4d.branch2.conv1,Conv2d,0.0,26.63583815028902,0.021973308589723375,0.19766518473625183,150994944,0.13018662013629426
stage4.inception_4d.branch2.conv2,Conv2d,0.0,151.9120879120879,0.01380844142374842,0.09172685444355011,764411904,0.2952637790065078
stage4.inception_4d.branch3.conv1,Conv2d,0.0,7.420289855072464,0.021831518039107323,0.1918933391571045,33554432,0.1361286872374262
stage4.inception_4d.branch3.conv2,Conv2d,0.0,105.78512396694215,0.017728753089904785,0.031086772680282593,104857600,0.47183112891949014
stage4.inception_4d.branch4.conv,Conv2d,0.0,13.837837837837839,0.022050824016332626,0.5798428058624268,67108864,0.006785616432270543
stage4.inception_4e.branch1.conv1,Conv2d,0.0,39.75529411764706,0.021617643760912346,0.16869759559631348,276824064,0.1628633372546834
stage4.inception_4e.branch2.conv1,Conv2d,0.0,28.961261570106274,0.02157480355465051,0.18300752341747284,173015040,0.14580921895340215
stage4.inception_4e.branch2.conv2,Conv2d,0.0,163.40425531914894,0.013090800179375542,0.08558885753154755,943718400,0.30961667991556635
stage4.inception_4e.branch3.conv1,Conv2d,0.0,7.433347998240211,0.02159798506534461,0.18915066123008728,34603008,0.13904746390845674
stage4.inception_4e.branch3.conv2,Conv2d,0.0,121.9047619047619,0.01759749174118042,0.030028922483325005,209715200,0.47570988669426
stage4.inception_4e.branch4.conv,Conv2d,0.0,24.522496371552975,0.021670137390945896,0.5046659708023071,138412032,0.012132893949506993
