layer,layer_type,identity_score,arithmetic_intensity,weight_l1,act_var,flops
stem.conv1,Conv2d,0.0,30.889022841825806,0.04539471580868676,0.6374508738517761,616562688
stem.conv2,Conv2d,-0.23333773016929626,7.984405458089668,0.06090107187628746,0.5206440687179565,67108864
stem.conv3,Conv2d,0.0,105.2254995242626,0.020618028110928006,0.4340554177761078,1811939328
stage3.inception_3a.branch1.conv1,Conv2d,0.0,11.86100386100386,0.03403802216053009,0.6249309182167053,50331648
stage3.inception_3a.branch2.conv1,Conv2d,0.0,15.753846153846155,0.03457304835319519,0.66063392162323,75497472
stage3.inception_3a.branch2.conv2,Conv2d,0.0,110.15139442231076,0.01666263739267985,0.396546870470047,452984832
stage3.inception_3a.branch3.conv1,Conv2d,0.0,3.6790419161676646,0.03378172218799591,0.5077477693557739,12582912
stage3.inception_3a.branch3.conv2,Conv2d,0.0,62.59168704156479,0.023757071495056153,0.19541218876838684,52428800
stage3.inception_3a.branch4.conv,Conv2d,0.0,6.811529933481153,0.03563226262728373,1.8202810287475586,25165824
stage3.inception_3b.branch1.conv1,Conv2d,0.0,20.897959183673468,0.029085824266076088,0.16255107522010803,134217728
stage3.inception_3b.branch2.conv1,Conv2d,0.0,20.897959183673468,0.029386674985289574,0.19523324072360992,134217728
stage3.inception_3b.branch2.conv2,Conv2d,0.0,147.85026737967914,0.014031292111785323,0.275902658700943,905969664
stage3.inception_3b.branch3.conv1,Conv2d,0.0,7.062068965517241,0.029715411365032196,0.2309284657239914,33554432
stage3.inception_3b.branch3.conv2,Conv2d,0.0,130.83475298126064,0.01673328717549642,0.20634916424751282,314572800
stage3.inception_3b.branch4.conv,Conv2d,0.0,12.641975308641975,0.02920275740325451,0.3816031515598297,67108864
stage4.inception_4a.branch1.conv1,Conv2d,0.0,30.236220472440944,0.021327120727962917,0.5138065218925476,94371840
stage4.inception_4a.branch2.conv1,Conv2d,0.0,18.55072463768116,0.021647850672403973,0.8040973544120789,47185920
stage4.inception_4a.branch2.conv2,Conv2d,0.0,93.69760166840459,0.016015096267743667,0.17164580523967743,184025088
stage4.inception_4a.branch3.conv1,Conv2d,0.0,3.81330685203575,0.02160595655441284,0.9783674478530884,7864320
stage4.inception_4a.branch3.conv2,Conv2d,0.0,58.00604229607251,0.023182493845621745,0.09275221079587936,19660800
stage4.inception_4a.branch4.conv,Conv2d,0.0,13.37979094076655,0.021702601512273153,1.7675998210906982,31457280
stage4.inception_4b.branch1.conv1,Conv2d,0.0,27.23404255319149,0.020609647035598755,0.1864870935678482,83886080
stage4.inception_4b.branch2.conv1,Conv2d,0.0,21.08235294117647,0.020940248455320085,0.2078540176153183,58720256
stage4.inception_4b.branch2.conv2,Conv2d,0.0,101.43396226415095,0.014832139826145303,0.16575103998184204,231211008
stage4.inception_4b.branch3.conv1,Conv2d,0.0,5.605839416058394,0.020864156385262806,0.2509595453739166,12582912
stage4.inception_4b.branch3.conv2,Conv2d,0.0,76.49402390438247,0.019091370900472006,0.08974798023700714,39321600
stage4.inception_4b.branch4.conv,Conv2d,0.0,13.473684210526315,0.020773785188794136,0.6780261397361755,33554432
stage4.inception_4c.branch1.conv1,Conv2d,0.0,23.272727272727273,0.020537761971354485,0.1678367555141449,67108864
stage4.inception_4c.branch2.conv1,Conv2d,0.0,23.272727272727273,0.020762594416737556,0.20031152665615082,67108864
