Experiment,Median Variance,Mean Activation
Stage 1 (Full),3.5698583126068115,-0.4559852336015966
Stage 2 (Full),372.2117919921875,-2.616914984252718
Stage 3 (Full),729.4751586914062,-4.40940511809593
Stage 4 (Full),337.8049011230469,-9.688358364833725
Stage 1 Block 0 Only,4.07957649230957,-0.6182505811254183
Stage 1 Block 2 Only,2.523061513900757,-0.3186851454277833
Stage 3 Block 8 Only,843.7813720703125,-4.438027150308092
Stage 4 Block 0 Only,337.8049011230469,-8.922342961033186
Stage 4 Block 2 Only,295.0489501953125,-9.149950355291367
Stages 1 and 2,31.1849365234375,-1.457659282574528
Stages 3 and 4,520.3363647460938,-5.573318762679559
