Experiment,Median Variance,Mean Activation
Stage 2 (Full),21.111577033996582,-4.683725714683533
Stage 3 (Full),14.157321453094482,-4.079176113009453
Stage 4 (Full),41.31297492980957,-3.6397340575853985
Stage 5 (Full),29.15756320953369,-3.2716930558284125
Stage 3a Only,16.876495838165283,-3.0663359562555947
Stage 4a Only,39.082881927490234,-2.3532111247380576
Stage 5a Only,34.709797859191895,-1.7898597220579784
Stage 5b Only,29.15756320953369,-4.753526389598846
Stages 2 and 3,14.157321453094482,-4.165540341820035
Stages 3 and 4,39.97917175292969,-3.7652889305637
