Layer,Mean Activation,Variance
stage1.conv1.conv,0.047497764229774475,25.233455657958984
stage2.conv2.conv,-2.3144543170928955,6.894861221313477
stage2.conv3.conv,-7.05299711227417,35.32829284667969
stage3.inception_3a.branch1.conv,-2.125488758087158,18.884248733520508
stage3.inception_3a.branch2.0.conv,-2.4479501247406006,13.445899963378906
stage3.inception_3a.branch2.1.conv,-4.5812835693359375,74.61647033691406
stage3.inception_3a.branch3.0.conv,-1.2479891777038574,14.868742942810059
stage3.inception_3a.branch3.1.conv,-2.7801499366760254,32.74988555908203
stage3.inception_3a.branch4.1.conv,-5.21515417098999,8.952533721923828
stage3.inception_3b.branch1.conv,-1.4747508764266968,12.194903373718262
stage3.inception_3b.branch2.0.conv,-0.30742448568344116,9.765438079833984
stage3.inception_3b.branch2.1.conv,-12.268314361572266,87.60430908203125
stage3.inception_3b.branch3.0.conv,-1.347644329071045,9.85057258605957
stage3.inception_3b.branch3.1.conv,-7.5509514808654785,57.347900390625
stage3.inception_3b.branch4.1.conv,-7.6030120849609375,12.739954948425293
stage4.inception_4a.branch1.conv,-2.832387685775757,54.377994537353516
stage4.inception_4a.branch2.0.conv,-1.631579041481018,36.844120025634766
stage4.inception_4a.branch2.1.conv,-4.723957061767578,49.99180603027344
stage4.inception_4a.branch3.0.conv,-1.492042899131775,41.3216438293457
stage4.inception_4a.branch3.1.conv,-1.3403491973876953,22.441923141479492
stage4.inception_4a.branch4.1.conv,-2.0989508628845215,15.109582901000977
stage4.inception_4b.branch1.conv,0.8358508944511414,39.986473083496094
stage4.inception_4b.branch2.0.conv,-1.1310971975326538,18.64377212524414
stage4.inception_4b.branch2.1.conv,-8.29848575592041,101.9353256225586
stage4.inception_4b.branch3.0.conv,-0.8826857209205627,23.128225326538086
stage4.inception_4b.branch3.1.conv,-1.7506166696548462,40.09724807739258
stage4.inception_4b.branch4.1.conv,-2.631986618041992,16.39706039428711
stage4.inception_4c.branch1.conv,2.5539865493774414,66.87188720703125
stage4.inception_4c.branch2.0.conv,-4.144585132598877,33.64273452758789
stage4.inception_4c.branch2.1.conv,-11.048223495483398,220.79669189453125
stage4.inception_4c.branch3.0.conv,-2.596646308898926,46.22810745239258
stage4.inception_4c.branch3.1.conv,-4.631473064422607,95.47889709472656
stage4.inception_4c.branch4.1.conv,-8.964127540588379,28.024089813232422
stage4.inception_4d.branch1.conv,4.273360252380371,72.54707336425781
stage4.inception_4d.branch2.0.conv,-3.1433639526367188,43.46665954589844
stage4.inception_4d.branch2.1.conv,-7.320955753326416,178.3149871826172
stage4.inception_4d.branch3.0.conv,-1.2518583536148071,41.94917297363281
stage4.inception_4d.branch3.1.conv,-2.1738388538360596,41.30430603027344
stage4.inception_4d.branch4.1.conv,-9.18692684173584,27.904741287231445
stage4.inception_4e.branch1.conv,-4.053717613220215,60.3373908996582
stage4.inception_4e.branch2.0.conv,-3.532250165939331,39.97187042236328
stage4.inception_4e.branch2.1.conv,-5.20804500579834,45.48307418823242
stage4.inception_4e.branch3.0.conv,-1.379452109336853,47.93815612792969
stage4.inception_4e.branch3.1.conv,-3.626999616622925,22.834867477416992
stage4.inception_4e.branch4.1.conv,-15.778616905212402,33.22651672363281
stage5.inception_5a.branch1.conv,2.437673568725586,72.249755859375
stage5.inception_5a.branch2.0.conv,-0.6027445197105408,45.93092727661133
stage5.inception_5a.branch2.1.conv,-1.4232147932052612,23.48866844177246
stage5.inception_5a.branch3.0.conv,-7.1600542068481445,64.15901184082031
stage5.inception_5a.branch3.1.conv,-1.3358877897262573,9.363102912902832
stage5.inception_5a.branch4.1.conv,-2.654930591583252,0.0
stage5.inception_5b.branch1.conv,-5.338504791259766,54.63447952270508
stage5.inception_5b.branch2.0.conv,-4.16731595993042,28.24755096435547
stage5.inception_5b.branch2.1.conv,-6.530008316040039,48.45791244506836
stage5.inception_5b.branch3.0.conv,-1.7553988695144653,30.067575454711914
stage5.inception_5b.branch3.1.conv,-3.1388840675354004,10.705427169799805
stage5.inception_5b.branch4.1.conv,-7.591046333312988,0.0
fc,-11.026172637939453,22.067285537719727
