Layer,Normalized Variance,Normalized CV
stage1.conv1.conv,47.637960237209,51.89708350615467
stage2.conv2.conv,8.221612886391494,1.5118102103235989
stage2.conv3.conv,1.1283277993039893,0.4442056008228364
stage3.inception_3a.branch1.conv,0.21282396883696358,0.848265929675192
stage3.inception_3a.branch2.0.conv,0.19148145479469728,1.0001366016668738
stage3.inception_3a.branch2.1.conv,0.04531228555757137,0.7317134806887928
stage3.inception_3a.branch3.0.conv,0.18859703075826204,0.0780126221246401
stage3.inception_3a.branch3.1.conv,0.04326326933423096,0.05290824312076147
stage3.inception_3a.branch4.1.conv,0.1710265646777373,0.17802021373734422
stage3.inception_3b.branch1.conv,0.01506945041121225,0.7667037581071474
stage3.inception_3b.branch2.0.conv,0.015115518701950608,0.0762152915866638
stage3.inception_3b.branch2.1.conv,0.0031496514453334076,0.019578210256146072
stage3.inception_3b.branch3.0.conv,0.01575402609588626,0.031847663997632406
stage3.inception_3b.branch3.1.conv,0.005617341664155222,0.024516401691869725
stage3.inception_3b.branch4.1.conv,0.014566246033170955,0.022545369088338405
stage4.inception_4a.branch1.conv,0.001206126806600552,0.0032577634473485453
stage4.inception_4a.branch2.0.conv,0.0011584270026550505,0.01272615181465903
stage4.inception_4a.branch2.1.conv,0.0006667988710412208,0.011731419768972986
stage4.inception_4a.branch3.0.conv,0.001038549410068685,0.002475531902978044
stage4.inception_4a.branch3.1.conv,0.00034413943981524415,0.014566364997437018
stage4.inception_4a.branch4.1.conv,0.0005932282466352914,0.007427111188952025
stage4.inception_4b.branch1.conv,0.0001131736130238141,0.001171188128882618
stage4.inception_4b.branch2.0.conv,0.00010975967854647394,0.004506141317374372
stage4.inception_4b.branch2.1.conv,4.986615617407814e-05,0.06427042089673092
stage4.inception_4b.branch3.0.conv,9.695774715885233e-05,0.0014094065244142262
stage4.inception_4b.branch3.1.conv,3.2129100838452704e-05,0.06260355433055624
stage4.inception_4b.branch4.1.conv,5.609106871879431e-05,0.0023047621055640208
stage4.inception_4c.branch1.conv,1.081844329605697e-05,0.0011804584710026983
stage4.inception_4c.branch2.0.conv,1.006913700348897e-05,0.0005867517769988551
stage4.inception_4c.branch2.1.conv,3.6731455555052228e-06,0.003386372260833078
stage4.inception_4c.branch3.0.conv,1.030840299151961e-05,0.0006310805939967013
stage4.inception_4c.branch3.1.conv,3.7155166400002936e-06,0.0009900129294550897
stage4.inception_4c.branch4.1.conv,6.171079832883021e-06,0.00113937767295608
stage4.inception_4d.branch1.conv,8.426335353580703e-07,0.0003032510487413186
stage4.inception_4d.branch2.0.conv,7.940779076894745e-07,0.0001376271469748372
stage4.inception_4d.branch2.1.conv,4.12421610184256e-07,0.0002633845093961541
stage4.inception_4d.branch3.0.conv,7.890895231488678e-07,4.1977385410055454e-05
stage4.inception_4d.branch3.1.conv,6.009504726461692e-07,0.001638644808453052
stage4.inception_4d.branch4.1.conv,4.355157320936395e-07,2.562768014627294e-05
stage4.inception_4e.branch1.conv,6.926871101620728e-08,0.00010322038475913076
stage4.inception_4e.branch2.0.conv,6.851188650671019e-08,0.0002105327561570986
stage4.inception_4e.branch2.1.conv,2.7403237697654286e-08,9.64132359668583e-05
stage4.inception_4e.branch3.0.conv,7.761292801749795e-08,1.2722881986932601e-05
stage4.inception_4e.branch3.1.conv,4.9537982259244437e-08,5.8604290707092144e-05
stage4.inception_4e.branch4.1.conv,4.388435584614603e-08,2.778870159786107e-05
stage5.inception_5a.branch1.conv,5.030416138309311e-09,5.5041172597981934e-06
stage5.inception_5a.branch2.0.conv,4.558020946929866e-09,1.0600168778090635e-05
stage5.inception_5a.branch2.1.conv,4.417407939015172e-09,0.0001813035739773694
stage5.inception_5a.branch3.0.conv,4.902667673051182e-09,4.645570717165888e-06
stage5.inception_5a.branch3.1.conv,2.1220917448166685e-09,1.9280822176850227e-05
stage5.inception_5a.branch4.1.conv,0.0,0.0
stage5.inception_5b.branch1.conv,4.1348733198883557e-10,9.606117507349744e-06
stage5.inception_5b.branch2.0.conv,4.41625196122382e-10,2.851453079848601e-05
stage5.inception_5b.branch2.1.conv,4.391574066896259e-10,1.2243127455503276e-05
stage5.inception_5b.branch3.0.conv,3.7014343566392496e-10,1.8367664853122128e-06
stage5.inception_5b.branch3.1.conv,1.2015812498572847e-10,4.607929585544054e-06
stage5.inception_5b.branch4.1.conv,0.0,0.0
fc,0.08480801687039095,0.116875089230149
