Experiment,Median Variance,Mean Activation
Early Features (Full),1.2580083012580872,-0.09499701275490224
Middle Features (Full),9.11771422624588,-0.5792124365689233
Late Features (Full),11.142327636480331,-1.1442582979798317
Block 0 Only,0.9971269071102142,-0.0007788930088281631
Block 1 Only,2.0367608666419983,-0.009549947455525398
Block 2 Only,3.842022106051445,-0.12402378022670746
Block 8 Only,22.690137088298798,-0.4651062861084938
Block 10 Only,42.136171370744705,-1.284528724849224
Block 11 Only,65.45815214514732,-0.3468562886118889
Early and Middle,1.2580083012580872,-0.31020386778335607
Middle and Late,9.223294585943222,-0.8617353672743775
Almost All (1-11),2.1448414027690887,-0.46004144773310557
