Experiment,Median Variance,Mean Activation
Last 2,1553.1057739257812,-0.08899447197715442
Stage 4 (Full),123.79934310913086,-0.2573428050276231
Stage 3 (Full),12.25439453125,0.49474753353458184
Stage 2 (Full),5.100592613220215,0.013533532619476318
Stage 1 (Full),4.155214309692383,-0.3498663504918416
Stage 3 Block 0 Only,10.116037368774414,-0.287830871840318
Stage 3 Block 1 Only,9.549735069274902,-0.6928402942915758
Stage 3 Block 2 Only,12.25439453125,1.218663066625595
Stage 3 Block 3 Only,14.972742080688477,1.5783826212088268
Stage 4 Block 0 Only,15.81613826751709,-1.7621251742045085
Stage 4 Block 1 Only,45.56489944458008,0.05826698895543814
Stage 4 Block 2 Only,116.79552459716797,1.0896901438633602
Stage 4 Block 3 Only,245.0586395263672,0.42723873754342395
Stage 4 Block 4 Only,738.167724609375,-0.0358014777302742
Stage 4 Block 5 Only,1468.2060546875,-0.24162265410025915
Stage 4 Block 6 Only,1839.1453857421875,0.06363371014595032
Stage 1 Block 0 Only,4.155214309692383,-0.3498663504918416
Stage 3-4,70.22337341308594,0.02200503500976733
Stage 2-4,35.10783100128174,0.021336232189481195
Stage 1-4,19.524944305419922,-0.00582493239695706
Stage 1 first 2 conv,7.215285301208496,-0.6588789522647858
Stage 2 first 2 conv,8.21461534500122,-0.047502145171165466
Stage 3 first 2 conv,17.461753845214844,-0.10407744795084
Stage 4 first 2 conv,88.78884887695312,-1.8239637970924378
Stage 1 last 2 conv,5.741944670677185,-0.25194501876831055
Stage 2 last 2 conv,7.25108015537262,-0.1146528571844101
Stage 3 last 2 conv,13.613568305969238,0.9956415370106697
Stage 4 last 2 conv,1158.077880859375,-0.24771918915212154
