Layer,Normalized Variance,Normalized CV
stem.stem_conv,0.0015281051842410275,0.021847205508576613
stage1.stage1_block0.block.conv1,0.002010927883915137,0.002987871932978154
stage1.stage1_block0.block.conv2,0.004778286101217307,0.004946696358683949
stage1.stage1_block0.block.conv3,0.000467650553354492,0.004616343063242084
stage1.stage1_block0.shortcut.shortcut_conv,0.0010617858213846402,0.004223410570003898
stage2.stage2_block0.block.conv1,0.0024008786639619934,0.1314304100391928
stage2.stage2_block0.block.conv2,0.004954118539530874,0.025937432882454956
stage2.stage2_block0.block.conv3,0.001285048722305703,0.018956642429893526
stage2.stage2_block0.shortcut.shortcut_conv,0.002214659242882089,0.016254791832726344
stage2.stage2_block1.block.conv1,0.009203483713281382,0.03222540188487513
stage2.stage2_block1.block.conv2,0.004593611224537416,0.003260562494536883
stage2.stage2_block1.block.conv3,0.0012837520986903842,0.003939012891454789
stage3.stage3_block0.block.conv1,0.008538790336131516,0.00580795708105966
stage3.stage3_block0.block.conv2,0.004061183481590396,0.009922395040939388
stage3.stage3_block0.block.conv3,0.003677118052740778,0.0177559796483563
stage3.stage3_block0.shortcut.shortcut_conv,0.0076896413888088615,0.021626699446326555
stage3.stage3_block1.block.conv1,0.06560742387577052,0.27455703893307276
stage3.stage3_block1.block.conv2,0.003968027090093933,0.0026210378478332677
stage3.stage3_block1.block.conv3,0.0035507845551233513,0.006226169320573919
stage3.stage3_block2.block.conv1,0.0637294182923995,0.04490546877310727
stage3.stage3_block2.block.conv2,0.0037448002180990366,0.005473618371338268
stage3.stage3_block2.block.conv3,0.003542949255782973,0.010427074341661263
stage3.stage3_block3.block.conv1,0.06652188438954135,0.015380553531369641
stage3.stage3_block3.block.conv2,0.0035561302034497803,0.01239749829912401
stage3.stage3_block3.block.conv3,0.004520935554444131,0.008857925705009737
stage3.stage3_block4.block.conv1,0.06083847563676226,0.014925991309574511
stage3.stage3_block4.block.conv2,0.00365598943725662,0.013163863014759525
stage3.stage3_block4.block.conv3,0.0038496512857341815,0.003055988701772514
stage3.stage3_block5.block.conv1,0.06080231721532476,0.018313230400374435
stage3.stage3_block5.block.conv2,0.004484440027575715,0.007546349767961803
stage3.stage3_block5.block.conv3,0.005855284901704553,0.2788735327993434
stage3.stage3_block6.block.conv1,0.0670954130960059,0.016525109990567655
stage3.stage3_block6.block.conv2,0.0034215027425971234,0.0063471930187893304
stage3.stage3_block6.block.conv3,0.007414593433502632,0.018242289195548538
stage4.stage4_block0.block.conv1,0.05854190123621104,0.11057517759832607
stage4.stage4_block0.block.conv2,0.002211610673570041,0.018466479022805536
stage4.stage4_block0.block.conv3,0.008357146901969785,0.007726178900458613
stage4.stage4_block0.shortcut.shortcut_conv,0.05833210218835094,0.0222950234160467
stage4.stage4_block1.block.conv1,0.03877602046268579,0.05285960518364406
stage4.stage4_block1.block.conv2,0.0009361721712688563,0.011475692815890318
stage4.stage4_block1.block.conv3,0.004405691029279106,0.2061669831910907
stage4.stage4_block2.block.conv1,0.03996166913723785,0.021137266033085383
stage4.stage4_block2.block.conv2,0.0018939725591313814,0.02670281338643071
stage4.stage4_block2.block.conv3,0.04524463841075712,0.08444875339647392
stage4.stage4_block3.block.conv1,0.10378483532211297,0.11909164747138935
stage4.stage4_block3.block.conv2,0.006682182801953372,0.021130115971089537
stage4.stage4_block3.block.conv3,0.30167445542814597,6.3706964321222515
stage4.stage4_block4.block.conv1,0.32558408795659527,0.23487370032088284
stage4.stage4_block4.block.conv2,0.017844359766425167,0.1856726523042996
stage4.stage4_block4.block.conv3,0.5591123906228184,1.6351878123586379
stage4.stage4_block5.block.conv1,0.763709491476284,4.467386501322817
stage4.stage4_block5.block.conv2,0.048101170413386796,0.3328023634305493
stage4.stage4_block5.block.conv3,1.6744197419994802,5.204267535802273
stage4.stage4_block6.block.conv1,2.096494629435496,3.2189411111406794
stage4.stage4_block6.block.conv2,0.16092794033884342,0.6502250943597169
stage4.stage4_block6.block.conv3,2.6015744950438533,2.8443239977632246
stage4.stage4_block7.block.conv1,2.9627179108586557,1.157680657672107
stage4.stage4_block7.block.conv2,0.29426070914435076,2.783024251492691
stage4.stage4_block7.block.conv3,7.486191666182415,4.079960377631741
stage4.stage4_block8.block.conv1,3.884541910039109,2.048570974649488
stage4.stage4_block8.block.conv2,0.41181535976343253,1.047692517785767
stage4.stage4_block8.block.conv3,9.149957493054195,1.494697856929941
stage4.stage4_block9.block.conv1,2.257127741625273,2.0410692461159132
stage4.stage4_block9.block.conv2,0.2935482612531213,1.3317583694126258
stage4.stage4_block9.block.conv3,9.089795012807642,1.3599363393776875
stage4.stage4_block10.block.conv1,2.1287766542188353,11.13265465905084
stage4.stage4_block10.block.conv2,0.23499255164376978,1.0940425461073149
stage4.stage4_block10.block.conv3,9.049877184920943,1.1943158728999266
stage4.stage4_block11.block.conv1,1.3134827165828276,12.913371570897704
stage4.stage4_block11.block.conv2,0.16631017149701685,0.6901783350693943
stage4.stage4_block11.block.conv3,13.849651220087269,0.6998399760585964
fc,0.012473668725518739,0.001174765109087957
