Experiment,Median Variance,Mean Activation
Stage 1 (Full),75.73074579238892,-5.12549071200192
Stage 2 (Full),147.3294334411621,-4.302651643753052
Stage 3 (Full),430.9684753417969,-10.502264022827148
Stage 4 (Full),1381.27392578125,-22.809810638427734
Stage 5 (Full),19060.17578125,-32.97646578152975
Conv 1 Only,899.5157470703125,-16.74783892614337
Conv 2 Only,148.2049102783203,-10.192127227783203
Conv 3 Only,87.21561431884766,-5.775808811187744
Conv 9 Only,1381.27392578125,-20.056299209594727
Conv 10 Only,1569.4598388671875,-24.353193283081055
Conv 13 Only,356790.53125,-94.84630584716797
Stages 1 and 2,117.71026229858398,-4.714071177877486
Stages 3 and 4,1076.0736694335938,-16.65603733062744
Stages 4 and 5,1855.0779418945312,-27.89313820997874
