Layer,Mean Activation,Variance
features.conv_1,-0.05885419622063637,3.2565813064575195
features.conv_2,-10.192015647888184,148.20372009277344
features.conv_3,-5.775906562805176,87.21688079833984
features.conv_4,-2.829602003097534,207.4439239501953
features.conv_5,-13.728787422180176,253.29429626464844
features.conv_6,-4.825064659118652,430.9559326171875
features.conv_7,-12.953060150146484,1252.5833740234375
features.conv_8,-24.021535873413086,899.517578125
features.conv_9,-20.0559024810791,1381.18798828125
features.conv_10,-24.35441017150879,1569.2645263671875
features.conv_11,-5.459966659545898,2140.130615234375
features.conv_12,1.3739049434661865,19053.1875
features.conv_13,-94.82562255859375,356622.75
classifier.fc_1,212.54034423828125,8648571.0
classifier.fc_2,-2760.57177734375,231382512.0
classifier.fc_3,-15.361559867858887,958.6807250976562
