Experiment,Median Variance,Mean Activation
Entry Flow (Full),9.47119927406311,-2.464997466803262
Middle Flow (Full),12.214341759681702,-2.9239281516305105
Exit Flow (Full),7.906581938266754,-1.77201047881681
Block 1 Only,1.6020909249782562,-0.270304047386162
Block 2 Only,13.127115190029144,-1.774807553156279
Block 3 Only,40.110321402549744,-3.0599909558077343
Conv 3 and 4 Only,7.457274436950684,-1.2903075256908778
Middle Flow Block 4 Only,678.5386234521866,-3.3657088208516748
Middle Flow Block 7 Only,11.751114964485168,-1.3388881821883842
Block 4 Only,32.26222950220108,-2.2537134319427423
Entry and Middle Flow,9.47119927406311,-2.8202986421533898
Middle and Exit Flow,14.35781192779541,-3.22990624584807
