layer,identity_score,arithmetic_intensity,flops,memory_bytes
stem.stem_conv,0.0,4.90835557084288,113246208,23072128
stem.stem_bn,0.9043629169464111,0.249998092665919,8388608,33554688
stage1.stage1_block0.block.conv1,0.0,3.4282127288578903,100663296,29363200
stage1.stage1_block0.block.bn1,0.8079266548156738,0.249998092665919,6291456,25166016
stage1.stage1_block0.block.relu1,1.0,0.0,0,25165824
stage1.stage1_block0.block.conv2,-0.030817586928606033,26.977771001677084,679477248,25186560
stage1.stage1_block0.block.bn2,0.8292833566665649,0.249998092665919,6291456,25166016
stage1.stage1_block0.block.relu2,1.0,0.0,0,25165824
stage1.stage1_block0.block.conv3,-0.05683591961860657,2.9997253669402824,75497472,25168128
stage1.stage1_block0.block.bn3,0.8896047472953796,0.249998092665919,6291456,25166016
stage1.stage1_block0.block,0.0,29.758664021308057,874512384,29386816
stage1.stage1_block0.shortcut.shortcut_conv,0.0,3.4282127288578903,100663296,29363200
stage1.stage1_block0.shortcut.shortcut_bn,0.8488048911094666,0.249998092665919,6291456,25166016
stage1.stage1_block0.shortcut,0.0,3.6424522071564485,106954752,29363392
stage1.stage1_block0.relu,1.0,0.0,0,25165824
stage1.stage1_block0,0.0,33.39450372370541,981467136,29390080
stage2.stage2_block0.block.conv1,0.0,4.199461738912859,176160768,41948416
stage2.stage2_block0.block.bn1,0.7857054471969604,0.249998092665919,14680064,58720704
stage2.stage2_block0.block.relu1,1.0,0.0,0,58720256
stage2.stage2_block0.block.conv2,0.0,25.122718200847004,924844032,36813056
stage2.stage2_block0.block.bn2,0.8542832136154175,0.2499923708382923,3670016,14680512
stage2.stage2_block0.block.relu2,1.0,0.0,0,14680064
stage2.stage2_block0.block.conv3,0.07195379585027695,6.9940236614221245,102760448,14692608
stage2.stage2_block0.block.bn3,0.8494957089424133,0.2499923708382923,3670016,14680512
stage2.stage2_block0.block,0.0,61.120866987276656,1225785344,20055104
stage2.stage2_block0.shortcut.shortcut_conv,0.0,2.209929989080866,44040192,19928320
stage2.stage2_block0.shortcut.shortcut_bn,0.8065579533576965,0.2499923708382923,3670016,14680512
stage2.stage2_block0.shortcut,0.0,2.3940370021869892,47710208,19928768
stage2.stage2_block0.relu,1.0,0.0,0,14680064
stage2.stage2_block0,0.0,63.48138789990174,1273495552,20060928
stage3.stage3_block0.block.conv1,0.0,10.218008234157686,278921216,27297024
stage3.stage3_block0.block.bn1,0.792373776435852,0.2499923708382923,9961472,39847104
stage3.stage3_block0.block.relu1,1.0,0.0,0,39845888
stage3.stage3_block0.block.conv2,0.0,66.18937818937819,1703411712,25735424
stage3.stage3_block0.block.bn2,0.8029628992080688,0.2499694861467106,2490368,9962688
stage3.stage3_block0.block.relu2,1.0,0.0,0,9961472
stage3.stage3_block0.block.conv3,0.013912083581089973,18.825350749879053,189267968,10053888
stage3.stage3_block0.block.bn3,0.8257591724395752,0.2499694861467106,2490368,9962688
stage3.stage3_block0.block,0.0,164.61680342679279,2186543104,13282624
stage3.stage3_block0.shortcut.shortcut_conv,0.0,5.643977538799445,69730304,12354816
stage3.stage3_block0.shortcut.shortcut_bn,0.8173618316650391,0.2499694861467106,2490368,9962688
stage3.stage3_block0.shortcut,0.0,5.8449728844988424,72220672,12356032
stage3.stage3_block0.relu,1.0,0.0,0,9961472
stage3.stage3_block0,0.0,169.6037521865329,2258763776,13317888
stage3.stage3_block1.block.conv1,-0.0244215726852417,18.825350749879053,189267968,10053888
stage3.stage3_block1.block.bn1,0.826873242855072,0.2499694861467106,2490368,9962688
stage3.stage3_block1.block.relu1,1.0,0.0,0,9961472
stage3.stage3_block1.block.conv2,-0.009378433227539062,157.82244254168543,1703411712,10793216
stage3.stage3_block1.block.bn2,0.8117902278900146,0.2499694861467106,2490368,9962688
stage3.stage3_block1.block.relu2,1.0,0.0,0,9961472
stage3.stage3_block1.block.conv3,0.02035718411207199,18.825350749879053,189267968,10053888
stage3.stage3_block1.block.bn3,0.8430143594741821,0.2499694861467106,2490368,9962688
stage3.stage3_block1.block,0.051935840398073196,190.26375816631602,2089418752,10981696
stage3.stage3_block1.shortcut,1.0,0.0,0,9961472
stage3.stage3_block1.relu,1.0,0.0,0,9961472
stage3.stage3_block1,0.8337498307228088,190.26375816631602,2089418752,10981696
stage3.stage3_block2.block.conv1,-0.015251120552420616,18.825350749879053,189267968,10053888
stage3.stage3_block2.block.bn1,0.7084213495254517,0.2499694861467106,2490368,9962688
stage3.stage3_block2.block.relu1,1.0,0.0,0,9961472
stage3.stage3_block2.block.conv2,0.036551643162965775,157.82244254168543,1703411712,10793216
stage3.stage3_block2.block.bn2,0.8112156987190247,0.2499694861467106,2490368,9962688
stage3.stage3_block2.block.relu2,1.0,0.0,0,9961472
stage3.stage3_block2.block.conv3,0.0004731443477794528,18.825350749879053,189267968,10053888
stage3.stage3_block2.block.bn3,0.7990680932998657,0.2499694861467106,2490368,9962688
stage3.stage3_block2.block,0.062498241662979126,190.26375816631602,2089418752,10981696
stage3.stage3_block2.shortcut,1.0,0.0,0,9961472
stage3.stage3_block2.relu,1.0,0.0,0,9961472
stage3.stage3_block2,0.8843093514442444,190.26375816631602,2089418752,10981696
stage3.stage3_block3.block.conv1,-0.04235629737377167,18.825350749879053,189267968,10053888
stage3.stage3_block3.block.bn1,0.7192721366882324,0.2499694861467106,2490368,9962688
stage3.stage3_block3.block.relu1,1.0,0.0,0,9961472
stage3.stage3_block3.block.conv2,0.00048539350973442197,157.82244254168543,1703411712,10793216
stage3.stage3_block3.block.bn2,0.808018147945404,0.2499694861467106,2490368,9962688
stage3.stage3_block3.block.relu2,1.0,0.0,0,9961472
stage3.stage3_block3.block.conv3,-0.0035652732476592064,18.825350749879053,189267968,10053888
stage3.stage3_block3.block.bn3,0.8123387694358826,0.2499694861467106,2490368,9962688
stage3.stage3_block3.block,0.05145959556102753,190.26375816631602,2089418752,10981696
stage3.stage3_block3.shortcut,1.0,0.0,0,9961472
stage3.stage3_block3.relu,1.0,0.0,0,9961472
stage3.stage3_block3,0.9069464206695557,190.26375816631602,2089418752,10981696
stage4.stage4_block0.block.conv1,0.0,26.543761307352373,458227712,17263104
stage4.stage4_block0.block.bn1,0.6894963979721069,0.2499694861467106,6029312,24120192
stage4.stage4_block0.block.relu1,1.0,0.0,0,24117248
stage4.stage4_block0.block.conv2,0.0,125.12868949232586,2496135168,19948544
stage4.stage4_block0.block.bn2,0.7893989086151123,0.24987798926305516,1507328,6032256
stage4.stage4_block0.block.relu2,1.0,0.0,0,6029312
stage4.stage4_block0.block.conv3,-0.02134639397263527,42.2078853046595,277348352,6571008
stage4.stage4_block0.block.bn3,0.8135807514190674,0.24987798926305516,1507328,6032256
stage4.stage4_block0.block,0.0,237.50621476346376,3240755200,13644928
stage4.stage4_block0.shortcut.shortcut_conv,0.0,13.937830935027721,114556928,8219136
stage4.stage4_block0.shortcut.shortcut_bn,0.6695560216903687,0.24987798926305516,1507328,6032256
stage4.stage4_block0.shortcut,0.0,14.116167198567759,116064256,8222080
stage4.stage4_block0.relu,1.0,0.0,0,6029312
stage4.stage4_block0,0.0,241.99195364116193,3356819456,13871616
stage4.stage4_block1.block.conv1,0.004990334622561932,42.2078853046595,277348352,6571008
stage4.stage4_block1.block.bn1,0.7921348810195923,0.24987798926305516,1507328,6032256
stage4.stage4_block1.block.relu1,1.0,0.0,0,6029312
stage4.stage4_block1.block.conv2,0.0019381814636290073,228.90712742980563,2496135168,10904576
stage4.stage4_block1.block.bn2,0.8884007930755615,0.24987798926305516,1507328,6032256
stage4.stage4_block1.block.relu2,1.0,0.0,0,6029312
stage4.stage4_block1.block.conv3,-0.0026764802169054747,42.2078853046595,277348352,6571008
stage4.stage4_block1.block.bn3,0.8139055371284485,0.24987798926305516,1507328,6032256
stage4.stage4_block1.block,0.06869448721408844,254.68073619631903,3055353856,11996800
stage4.stage4_block1.shortcut,1.0,0.0,0,6029312
stage4.stage4_block1.relu,1.0,0.0,0,6029312
stage4.stage4_block1,0.8262706398963928,254.68073619631903,3055353856,11996800
stage4.stage4_block2.block.conv1,0.003577440045773983,42.2078853046595,277348352,6571008
stage4.stage4_block2.block.bn1,0.7148559093475342,0.24987798926305516,1507328,6032256
stage4.stage4_block2.block.relu1,1.0,0.0,0,6029312
stage4.stage4_block2.block.conv2,-0.0025981981307268143,228.90712742980563,2496135168,10904576
stage4.stage4_block2.block.bn2,0.8845924139022827,0.24987798926305516,1507328,6032256
stage4.stage4_block2.block.relu2,1.0,0.0,0,6029312
stage4.stage4_block2.block.conv3,0.0030532204546034336,42.2078853046595,277348352,6571008
stage4.stage4_block2.block.bn3,0.7975680828094482,0.24987798926305516,1507328,6032256
stage4.stage4_block2.block,0.06350237876176834,254.68073619631903,3055353856,11996800
stage4.stage4_block2.shortcut,1.0,0.0,0,6029312
stage4.stage4_block2.relu,1.0,0.0,0,6029312
stage4.stage4_block2,0.8785261511802673,254.68073619631903,3055353856,11996800
stage4.stage4_block3.block.conv1,-0.027759823948144913,42.2078853046595,277348352,6571008
stage4.stage4_block3.block.bn1,0.7002698183059692,0.24987798926305516,1507328,6032256
stage4.stage4_block3.block.relu1,1.0,0.0,0,6029312
stage4.stage4_block3.block.conv2,-0.010729268193244934,228.90712742980563,2496135168,10904576
stage4.stage4_block3.block.bn2,0.8713362216949463,0.24987798926305516,1507328,6032256
stage4.stage4_block3.block.relu2,1.0,0.0,0,6029312
stage4.stage4_block3.block.conv3,0.013975675217807293,42.2078853046595,277348352,6571008
stage4.stage4_block3.block.bn3,0.7821517586708069,0.24987798926305516,1507328,6032256
stage4.stage4_block3.block,0.07889877259731293,254.68073619631903,3055353856,11996800
stage4.stage4_block3.shortcut,1.0,0.0,0,6029312
stage4.stage4_block3.relu,1.0,0.0,0,6029312
stage4.stage4_block3,0.9074563384056091,254.68073619631903,3055353856,11996800
stage4.stage4_block4.block.conv1,-0.01832316443324089,42.2078853046595,277348352,6571008
stage4.stage4_block4.block.bn1,0.6786274909973145,0.24987798926305516,1507328,6032256
stage4.stage4_block4.block.relu1,1.0,0.0,0,6029312
stage4.stage4_block4.block.conv2,0.006662960629910231,228.90712742980563,2496135168,10904576
stage4.stage4_block4.block.bn2,0.8743466734886169,0.24987798926305516,1507328,6032256
stage4.stage4_block4.block.relu2,1.0,0.0,0,6029312
stage4.stage4_block4.block.conv3,0.00950124766677618,42.2078853046595,277348352,6571008
stage4.stage4_block4.block.bn3,0.7822411060333252,0.24987798926305516,1507328,6032256
stage4.stage4_block4.block,0.037068285048007965,254.68073619631903,3055353856,11996800
stage4.stage4_block4.shortcut,1.0,0.0,0,6029312
stage4.stage4_block4.relu,1.0,0.0,0,6029312
stage4.stage4_block4,0.9180757999420166,254.68073619631903,3055353856,11996800
stage4.stage4_block5.block.conv1,-0.0023870482109487057,42.2078853046595,277348352,6571008
stage4.stage4_block5.block.bn1,0.6710308790206909,0.24987798926305516,1507328,6032256
stage4.stage4_block5.block.relu1,1.0,0.0,0,6029312
stage4.stage4_block5.block.conv2,0.001270938664674759,228.90712742980563,2496135168,10904576
stage4.stage4_block5.block.bn2,0.8468559384346008,0.24987798926305516,1507328,6032256
stage4.stage4_block5.block.relu2,1.0,0.0,0,6029312
stage4.stage4_block5.block.conv3,-0.009638385847210884,42.2078853046595,277348352,6571008
stage4.stage4_block5.block.bn3,0.7834262847900391,0.24987798926305516,1507328,6032256
stage4.stage4_block5.block,0.05271859094500542,254.68073619631903,3055353856,11996800
stage4.stage4_block5.shortcut,1.0,0.0,0,6029312
stage4.stage4_block5.relu,1.0,0.0,0,6029312
stage4.stage4_block5,0.9362508654594421,254.68073619631903,3055353856,11996800
stage4.stage4_block6.block.conv1,-0.024060163646936417,42.2078853046595,277348352,6571008
stage4.stage4_block6.block.bn1,0.7007991671562195,0.24987798926305516,1507328,6032256
stage4.stage4_block6.block.relu1,1.0,0.0,0,6029312
stage4.stage4_block6.block.conv2,0.009573414921760559,228.90712742980563,2496135168,10904576
stage4.stage4_block6.block.bn2,0.8486738204956055,0.24987798926305516,1507328,6032256
stage4.stage4_block6.block.relu2,1.0,0.0,0,6029312
stage4.stage4_block6.block.conv3,0.017346596345305443,42.2078853046595,277348352,6571008
stage4.stage4_block6.block.bn3,0.7944800853729248,0.24987798926305516,1507328,6032256
stage4.stage4_block6.block,0.036358632147312164,254.68073619631903,3055353856,11996800
stage4.stage4_block6.shortcut,1.0,0.0,0,6029312
stage4.stage4_block6.relu,1.0,0.0,0,6029312
stage4.stage4_block6,0.9412035942077637,254.68073619631903,3055353856,11996800
fc,0.0,2.388326082767992,1884160,788904
