Experiment,Median Redundancy
Original Model,-0.08604690432548523
Last 2,-0.19398945569992065
Stage 4 (Full),-0.18032176792621613
Stage 3 (Full),-0.07766906917095184
Stage 2 (Full),0.0
Stage 1 (Full),0.0
Stage 3 Block 0 Only,0.0
Stage 3 Block 1 Only,-0.14286457002162933
Stage 3 Block 2 Only,-0.08604690432548523
Stage 3 Block 3 Only,-0.13908818364143372
Stage 4 Block 0 Only,0.0
Stage 4 Block 1 Only,-0.15588881075382233
Stage 4 Block 2 Only,-0.20495501160621643
Stage 4 Block 3 Only,-0.192846417427063
Stage 4 Block 4 Only,-0.1892940104007721
Stage 4 Block 5 Only,-0.1881231963634491
Stage 4 Block 6 Only,-0.19786858558654785
Stage 1 Block 0 Only,0.0
Stage 3-4,-0.13908818364143372
Stage 2-4,-0.11512711271643639
Stage 1-4,-0.09381718188524246
Stage 1 first 2 conv,-0.1523493230342865
Stage 2 first 2 conv,0.0
Stage 3 first 2 conv,0.0
Stage 4 first 2 conv,0.0
Stage 1 last 2 conv,-0.1331041380763054
Stage 2 last 2 conv,0.04944007098674774
Stage 3 last 2 conv,-0.11256754398345947
Stage 4 last 2 conv,-0.14097018912434578
