Experiment,Median Variance
Original Model,1.0
Last 2,62.382652282714844
Stage 4 (Full),70.23117446899414
Stage 3 (Full),62.36155319213867
Stage 2 (Full),4.871119022369385
Stage 1 (Full),3.63594126701355
Stage 3 Block 0 Only,11.69073486328125
Stage 3 Block 1 Only,81.46372985839844
Stage 3 Block 2 Only,62.36155319213867
Stage 3 Block 3 Only,63.97422409057617
Stage 4 Block 0 Only,60.67372131347656
Stage 4 Block 1 Only,141.5718536376953
Stage 4 Block 2 Only,122.76081085205078
Stage 4 Block 3 Only,98.81684112548828
Stage 4 Block 4 Only,78.77334594726562
Stage 4 Block 5 Only,70.44110107421875
Stage 4 Block 6 Only,54.744056701660156
Stage 1 Block 0 Only,3.63594126701355
Stage 3-4,63.97422409057617
Stage 2-4,61.51763725280762
Stage 1-4,57.01996994018555
Stage 1 first 2 conv,8.229841589927673
Stage 2 first 2 conv,30.945544481277466
Stage 3 first 2 conv,11.692704200744629
Stage 4 first 2 conv,60.67372131347656
Stage 1 last 2 conv,6.820617079734802
Stage 2 last 2 conv,29.816354274749756
Stage 3 last 2 conv,33.521406292915344
Stage 4 last 2 conv,36.306082129478455
