layer,layer_type,arithmetic_intensity,sensitivity,flops
stem.stem_conv,Conv2d,4.907620452856144,3.867132909363136e-05,56623104
stage1.stage1_block0.block.conv1,Conv2d,3.427854104191366,3.7495323340408504e-05,50331648
stage1.stage1_block0.block.conv2,Conv2d,26.955578575345804,2.782381125143729e-05,339738624
stage1.stage1_block0.block.conv3,Conv2d,2.9994507841581743,3.944966374547221e-05,37748736
stage1.stage1_block0.shortcut.shortcut_conv,Conv2d,3.427854104191366,5.004765625926666e-05,50331648
stage2.stage2_block0.block.conv1,Conv2d,4.198923615772324,2.2715314116794616e-05,88080384
stage2.stage2_block0.block.conv2,Conv2d,25.04590895855576,4.970645750290714e-05,462422016
stage2.stage2_block0.block.conv3,Conv2d,6.988057518888618,5.005775165045634e-05,51380224
stage2.stage2_block0.shortcut.shortcut_conv,Conv2d,2.2093339840238357,6.0145721363369375e-05,22020096
stage3.stage3_block0.block.conv1,Conv2d,10.20527903186527,2.3800168492016383e-05,139460608
stage3.stage3_block0.block.conv2,Conv2d,64.11717319663127,6.365110311890021e-05,851705856
stage3.stage3_block0.block.conv3,Conv2d,18.653883029721957,6.760436372132972e-05,94633984
stage3.stage3_block0.shortcut.shortcut_conv,Conv2d,5.628466338802331,4.9091104301624e-05,34865152
stage3.stage3_block1.block.conv1,Conv2d,18.653883029721957,2.3406757463817485e-05,94633984
stage3.stage3_block1.block.conv2,Conv2d,146.5305439330544,3.083893170696683e-05,851705856
stage3.stage3_block1.block.conv3,Conv2d,18.653883029721957,3.870283399010077e-05,94633984
stage3.stage3_block2.block.conv1,Conv2d,18.653883029721957,3.0187316951924004e-05,94633984
stage3.stage3_block2.block.conv2,Conv2d,146.5305439330544,2.7574567866395228e-05,851705856
stage3.stage3_block2.block.conv3,Conv2d,18.653883029721957,3.349925464135595e-05,94633984
stage3.stage3_block3.block.conv1,Conv2d,18.653883029721957,3.23506974382326e-05,94633984
stage3.stage3_block3.block.conv2,Conv2d,146.5305439330544,3.052282772841863e-05,851705856
stage3.stage3_block3.block.conv3,Conv2d,18.653883029721957,3.30585207848344e-05,94633984
stage4.stage4_block0.block.conv1,Conv2d,26.204134215611642,2.7586560463532805e-05,229113856
stage4.stage4_block0.block.conv2,Conv2d,100.55407969639468,6.53489914839156e-05,1248067584
stage4.stage4_block0.block.conv3,Conv2d,38.99337748344371,7.15780770406127e-05,138674176
stage4.stage4_block0.shortcut.shortcut_conv,Conv2d,13.568465736810188,6.937422585906461e-05,57278464
stage4.stage4_block1.block.conv1,Conv2d,38.99337748344371,4.085219188709743e-05,138674176
stage4.stage4_block1.block.conv2,Conv2d,158.18507462686568,4.727658597403206e-05,1248067584
stage4.stage4_block1.block.conv3,Conv2d,38.99337748344371,4.4436306779971346e-05,138674176
stage4.stage4_block2.block.conv1,Conv2d,38.99337748344371,3.740707688848488e-05,138674176
stage4.stage4_block2.block.conv2,Conv2d,158.18507462686568,3.6538469430524856e-05,1248067584
stage4.stage4_block2.block.conv3,Conv2d,38.99337748344371,3.8906837289687246e-05,138674176
stage4.stage4_block3.block.conv1,Conv2d,38.99337748344371,3.1173192837741226e-05,138674176
stage4.stage4_block3.block.conv2,Conv2d,158.18507462686568,3.514653508318588e-05,1248067584
stage4.stage4_block3.block.conv3,Conv2d,38.99337748344371,3.695849591167644e-05,138674176
stage4.stage4_block4.block.conv1,Conv2d,38.99337748344371,2.6472131139598787e-05,138674176
stage4.stage4_block4.block.conv2,Conv2d,158.18507462686568,2.782713454507757e-05,1248067584
stage4.stage4_block4.block.conv3,Conv2d,38.99337748344371,3.052680767723359e-05,138674176
stage4.stage4_block5.block.conv1,Conv2d,38.99337748344371,2.3880078515503556e-05,138674176
stage4.stage4_block5.block.conv2,Conv2d,158.18507462686568,2.558365486038383e-05,1248067584
stage4.stage4_block5.block.conv3,Conv2d,38.99337748344371,2.6030942535726354e-05,138674176
stage4.stage4_block6.block.conv1,Conv2d,38.99337748344371,4.110145891900174e-05,138674176
stage4.stage4_block6.block.conv2,Conv2d,158.18507462686568,3.412862497498281e-05,1248067584
stage4.stage4_block6.block.conv3,Conv2d,38.99337748344371,1.787606015568599e-05,138674176
fc,Linear,10.690681966736873,0.0011171505320817232,4710400
