layer,layer_type,identity_score,arithmetic_intensity,weight_l1,act_var,flops
features.conv_1,Conv2d,0.0,6.447432281760347,0.09547517917774341,0.3356514275074005,905969664
features.bn_1,BatchNorm2d,0.6817761063575745,0.2499995231637513,0.9946095943450928,0.984224796295166,67108864
features.conv_2,Conv2d,0.019585009664297104,71.9604023436048,0.02086069020960066,0.43964293599128723,19327352832
features.bn_2,BatchNorm2d,0.7928663492202759,0.2499995231637513,0.9946249127388,0.9918412566184998,67108864
features.conv_3,Conv2d,0.0,95.71908613738367,0.02078913814491696,0.6171362400054932,9663676416
features.bn_3,BatchNorm2d,0.7373695373535156,0.249998092665919,0.9946163892745972,0.9862746596336365,33554432
features.conv_4,Conv2d,-0.03256598487496376,143.36941172896007,0.014736548066139221,0.44291791319847107,19327352832
features.bn_4,BatchNorm2d,0.8084003925323486,0.249998092665919,0.9946187138557434,0.992159903049469,33554432
features.conv_5,Conv2d,0.0,187.59932412285062,0.014668742815653482,0.6643523573875427,9663676416
features.bn_5,BatchNorm2d,0.7269605994224548,0.2499923708382923,0.9946208000183105,0.9942288398742676,16777216
features.conv_6,Conv2d,0.001230526715517044,278.21476688138443,0.010375140441788567,0.38921791315078735,19327352832
features.bn_6,BatchNorm2d,0.8145651817321777,0.2499923708382923,0.9946191906929016,0.9984211325645447,16777216
features.conv_7,Conv2d,0.006501460447907448,278.21476688138443,0.010367084708478715,0.3993811011314392,19327352832
features.bn_7,BatchNorm2d,0.8232017159461975,0.2499923708382923,0.9946202039718628,1.0001749992370605,16777216
features.conv_8,Conv2d,0.0,323.34626190639347,0.010367507735888163,0.6393523812294006,9663676416
features.bn_8,BatchNorm2d,0.7153570652008057,0.2499694861467106,0.9946200847625732,0.9997949600219727,8388608
features.conv_9,Conv2d,-0.0015929435612633824,449.53956080598294,0.0073307471142874826,0.31596505641937256,19327352832
features.bn_9,BatchNorm2d,0.8131588697433472,0.2499694861467106,0.9946197271347046,1.0029561519622803,8388608
features.conv_10,Conv2d,-0.0020541478879749775,449.53956080598294,0.007330746286445194,0.31327885389328003,19327352832
features.bn_10,BatchNorm2d,0.8177785277366638,0.2499694861467106,0.9946184158325195,1.0026705265045166,8388608
features.conv_11,Conv2d,0.06315234303474426,271.02768523836875,0.007328838937812381,0.5484511852264404,4831838208
features.bn_11,BatchNorm2d,0.7152439951896667,0.24987798926305516,0.9946174621582031,1.0011281967163086,2097152
features.conv_12,Conv2d,0.015382924117147923,271.02768523836875,0.007322871022754245,0.22429440915584564,4831838208
features.bn_12,BatchNorm2d,0.7868146300315857,0.24987798926305516,0.9946162700653076,0.9984703063964844,2097152
features.conv_13,Conv2d,0.0017935127252712846,271.02768523836875,0.007320948772960239,0.18984325230121613,4831838208
features.bn_13,BatchNorm2d,0.8702797889709473,0.24987798926305516,0.9977414608001709,1.0040985345840454,2097152
classifier.fc_1,Linear,0.0,60.17998163452709,0.022003237158060074,1.2081395387649536,1073741824
classifier.fc_2,Linear,0.20792436599731445,102.38000390548721,0.007777152117341757,0.40258583426475525,8589934592
classifier.fc_3,Linear,0.0,20.49559586748041,0.00808451533317566,4.449225902557373,209715200
