layer,layer_type,identity_score,arithmetic_intensity,weight_l1,act_var,flops,collapse_score
features.conv_1,Conv2d,0.0,6.447432281760347,0.09560712178548177,0.33004868030548096,905969664,0.001967948518562871
features.conv_2,Conv2d,0.07039648294448853,71.9604023436048,0.02088376051849789,0.44601282477378845,19327352832,0.005905623967971554
features.conv_3,Conv2d,0.0,95.71908613738367,0.020789076884587605,0.597707211971283,9663676416,0.012508611511789478
features.conv_4,Conv2d,0.000437228474766016,143.36941172896007,0.014736453692118326,0.4643600881099701,19327352832,0.04902502230996266
features.conv_5,Conv2d,0.0,187.59932412285062,0.0146688355339898,0.6575148105621338,9663676416,0.07245154052692479
features.conv_6,Conv2d,-0.012507479637861252,278.21476688138443,0.0103750369615025,0.39689144492149353,19327352832,0.19392636879708877
features.conv_7,Conv2d,-0.0003241131198592484,278.21476688138443,0.010369288424650827,0.4027840793132782,19327352832,0.2320894191032261
features.conv_8,Conv2d,0.0,323.34626190639347,0.010367750293678708,0.6377230882644653,9663676416,0.14775992207629096
features.conv_9,Conv2d,0.006703067570924759,449.53956080598294,0.007330863840050167,0.3207586109638214,19327352832,0.30065542669828943
features.conv_10,Conv2d,-0.010154603980481625,449.53956080598294,0.007330926756064097,0.31633371114730835,19327352832,0.2982447814006735
features.conv_11,Conv2d,0.07554464042186737,271.02768523836875,0.007328774366113875,0.5376046895980835,4831838208,0.2178614498324423
features.conv_12,Conv2d,0.01503320038318634,271.02768523836875,0.007322723666826884,0.2250383496284485,4831838208,0.3748925076935953
features.conv_13,Conv2d,0.009427346289157867,271.02768523836875,0.007320928904745314,0.18891523778438568,4831838208,0.40264477616435573
classifier.fc_1,Linear,0.0,60.17998163452709,0.022004010155797005,1.231369972229004,1073741824,0.041928797729082604
classifier.fc_2,Linear,0.21175581216812134,102.38000390548721,0.007777414284646511,0.41371428966522217,8589934592,0.33010581862529037
classifier.fc_3,Linear,0.0,20.49559586748041,0.00809557557106018,4.726472854614258,209715200,2.1998086452937906e-05
