layer,identity_score,arithmetic_intensity,flops,memory_bytes
features.conv_1,0.0,6.447103403045981,452984832,70261760
features.bn_1,0.6025688648223877,0.24999904632932157,33554432,134218240
features.conv_2,-0.07989111542701721,71.92084821811324,9663676416,134365440
features.bn_2,0.7967947125434875,0.24999904632932157,33554432,134218240
features.conv_3,0.0,95.43981149057959,4831838208,50627072
features.bn_3,0.8161752223968506,0.24999618536094115,16777216,67109888
features.conv_4,0.001758611062541604,142.7443221781055,9663676416,67699200
features.bn_4,0.8298654556274414,0.24999618536094115,16777216,67109888
features.conv_5,0.0,183.39585681526682,4831838208,26346496
features.bn_5,0.735680103302002,0.24998474214220323,8388608,33556480
features.conv_6,-0.009169855155050755,269.07261996407493,9663676416,35914752
features.bn_6,0.8324548006057739,0.24998474214220323,8388608,33556480
features.conv_7,0.003877688432112336,269.07261996407493,9663676416,35914752
features.bn_7,0.8351863622665405,0.24998474214220323,8388608,33556480
features.conv_8,0.0,279.23967333412236,4831838208,17303552
features.bn_8,0.77901291847229,0.2499389797412741,4194304,16781312
features.conv_9,0.0004253616207279265,368.61120224982426,9663676416,26216448
features.bn_9,0.8403286933898926,0.2499389797412741,4194304,16781312
features.conv_10,0.006504993885755539,368.61120224982426,9663676416,26216448
features.bn_10,0.8295868635177612,0.2499389797412741,4194304,16781312
features.conv_11,-0.12591327726840973,177.204146011717,2415919104,13633536
features.bn_11,0.7775264382362366,0.2497560975609756,1048576,4198400
features.conv_12,-0.00350687513127923,177.204146011717,2415919104,13633536
features.bn_12,0.8313320875167847,0.2497560975609756,1048576,4198400
features.conv_13,-0.011639486998319626,177.204146011717,2415919104,13633536
features.bn_13,0.8318905830383301,0.2497560975609756,1048576,4198400
classifier.fc_1,0.0,15.276456876456876,536870912,35143680
classifier.fc_2,-0.01938898116350174,15.511479289940828,1073741824,69222400
classifier.fc_3,0.0,11.977221056633015,52428800,4377376
