Experiment,Median Redundancy
Original Model,0.0
Stage 5 (Full),-0.08697746694087982
Stage 4 (Full),0.03712685406208038
Stage 3 (Full),0.033462874591350555
Stage 2 (Full),-0.012065926566720009
Stage 1 (Full),0.0052863177843391895
Stage 3 Conv 1 Only,0.0
Stage 3 Conv 2 Only,0.033462874591350555
Stage 3 Conv 3 Only,0.06549054384231567
Stage 1 Conv 1 Only,-0.09955053776502609
Stage 1 Conv 2 Only,0.010572635568678379
Last 2,-0.016533929854631424
Stage 4-5,0.01856342703104019
Stage 3-5,0.033462874591350555
Stage 2-5,0.0
Stage 1-5,-0.09955053776502609
