Experiment,Relative Variance
Original Model,1.0
Stage 5 (Full),2.1374918911419503
Stage 4 (Full),3.9668749929170906
Stage 3 (Full),1.7259791499753256
Stage 2 (Full),0.5730562822572863
Stage 1 (Full),1.9317355205586382
Stage 3 Conv 1 Only,0.73020193760927
Stage 3 Conv 2 Only,1.7259791499753256
Stage 3 Conv 3 Only,2.3753854390493756
Stage 1 Conv 1 Only,1.2532759099692679
Stage 1 Conv 2 Only,0.48861523198116447
Last 2,1.695383900555609
Stage 4-5,3.4103992219617236
Stage 3-5,2.3753854390493756
Stage 2-5,2.1374918911419503
Stage 1-5,1.2532759099692679
