Experiment,Median Variance
Original Model,710.963134765625
Stage 5 (Full),1519.6318359375
Stage 4 (Full),2820.252685546875
Stage 3 (Full),1227.206298828125
Stage 2 (Full),407.40478515625
Stage 1 (Full),1373.4190673828125
Stage 3 Conv 1 Only,519.1421508789062
Stage 3 Conv 2 Only,1227.206298828125
Stage 3 Conv 3 Only,1689.0888671875
Stage 1 Conv 1 Only,891.062255859375
Stage 1 Conv 2 Only,347.3714599609375
Last 2,1205.3470458984375
Stage 4-5,2424.6866455078125
Stage 3-5,1689.0888671875
Stage 2-5,1519.6318359375
Stage 1-5,891.062255859375
