layer,layer_type,arithmetic_intensity,act_var,flops
features.conv_1,Conv2d,6.447103403045981,3.111372470855713,452984832
features.conv_2,Conv2d,71.92084821811324,347.36761474609375,9663676416
features.conv_3,Conv2d,95.43981149057959,283.9342956542969,4831838208
features.conv_4,Conv2d,142.7443221781055,530.863037109375,9663676416
features.conv_5,Conv2d,183.39585681526682,519.1170654296875,4831838208
features.conv_6,Conv2d,269.07261996407493,1227.03759765625,9663676416
features.conv_7,Conv2d,269.07261996407493,1688.7152099609375,9663676416
features.conv_8,Conv2d,279.23967333412236,2028.918701171875,4831838208
features.conv_9,Conv2d,368.61120224982426,2820.14111328125,9663676416
features.conv_10,Conv2d,368.61120224982426,6497.7314453125,9663676416
features.conv_11,Conv2d,177.204146011717,6102.359375,2415919104
features.conv_12,Conv2d,177.204146011717,1519.59130859375,2415919104
features.conv_13,Conv2d,177.204146011717,890.982177734375,2415919104
classifier.fc_1,Linear,15.276456876456876,0.013446737080812454,536870912
classifier.fc_2,Linear,15.511479289940828,0.08586026728153229,1073741824
classifier.fc_3,Linear,11.977221056633015,7.494887828826904,52428800
