layer,layer_type,identity_score,arithmetic_intensity,weight_l1,act_var,flops,collapse_score
stem.conv1,Conv2d,0.0,4.90835557084288,0.09792644006234628,0.4286416172981262,113246208,0.00019838581014969424
stem.conv2,Conv2d,0.0,23.929892891918207,0.029360175132751465,0.3022471070289612,603979776,0.0015859980807852896
block1.depthwise,Conv2d,0.0,0.4499011447679953,0.16669999228583443,0.16492801904678345,4718592,0.012933783030969663
block1.pointwise,Conv2d,0.0,10.61139896373057,0.06165296584367752,0.18600203096866608,67108864,0.04734660692150798
block2.depthwise,Conv2d,0.0,0.44960483949653623,0.17253173722161186,0.2775844931602478,2359296,0.09003811558651446
block2.pointwise,Conv2d,0.0,20.48,0.04397525638341904,0.1851038634777069,67108864,0.22137342155496612
block3.depthwise,Conv2d,0.0,0.44842351109381084,0.16217611895667183,0.1564917117357254,1179648,0.29100600469346305
block3.pointwise,Conv2d,0.0,34.56379821958457,0.031128131426297702,0.18009258806705475,95420416,0.2721179059723304
block4.depthwise,Conv2d,0.009230464696884155,1.1151984511132624,0.1679916474990938,0.03808606043457985,3354624,0.5112739711700904
block4.pointwise,Conv2d,0.0034396876581013203,53.18721461187214,0.018413549689707615,0.1936311423778534,271351808,0.26040127406600905
block5.depthwise,Conv2d,-0.05635125935077667,1.1151984511132624,0.16536372630732982,0.03784707188606262,3354624,0.4866075692453784
block5.pointwise,Conv2d,-0.009339027106761932,53.18721461187214,0.01841811019000102,0.18948760628700256,271351808,0.26010087732894915
fc,Linear,0.0,18.755484707227335,0.018817376776055977,2.1109445095062256,37273600,6.356470099882565e-05
